num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
1,16,64,2,7,8,17,36,35,19,snappy,10.17
4,4,90,16,16,7,25,40,30,63,snappy,12.11
14,23,97,12,20,19,20,34,13,46,gzip,7.28
18,17,90,10,15,5,3,21,38,52,snappy,12.96
17,7,98,11,13,1,7,47,56,8,gzip,6.93
18,19,30,4,10,11,17,1,33,13,snappy,11.18
18,10,49,20,19,18,8,4,48,20,gzip,7
8,7,33,20,16,14,28,44,52,36,gzip,6.98
15,4,21,9,13,15,26,9,28,58,gzip,7.03
11,24,72,10,14,19,5,3,8,5,snappy,7.58
5,11,7,14,4,2,3,33,54,98,snappy,12.16
1,8,79,3,12,15,8,1,17,88,none,10.36
4,10,95,20,6,5,28,5,63,20,gzip,6.92
12,11,51,9,9,3,14,21,23,22,gzip,7.14
3,8,82,2,19,18,9,13,31,9,lz4,12.46
5,22,94,1,20,15,6,9,53,41,snappy,13.49
15,13,51,12,9,6,3,44,58,6,none,14.7
3,16,22,17,5,6,24,16,30,76,lz4,12.96
2,16,64,12,18,9,22,46,29,2,gzip,7.46
11,3,91,18,14,20,30,35,32,84,lz4,13.23
11,21,52,20,6,19,15,24,26,57,lz4,12.32
1,21,15,14,4,12,3,39,39,40,gzip,7.07
11,17,44,10,3,9,16,8,24,52,snappy,11.21
12,13,94,17,8,20,15,24,16,42,snappy,10.94
18,11,12,13,3,12,11,21,56,99,gzip,7
16,1,73,10,6,5,2,8,31,13,lz4,12.55
17,24,58,7,7,7,10,29,6,98,snappy,6.67
13,16,17,14,3,13,8,4,8,1,snappy,8.33
15,2,32,11,10,3,14,46,14,22,snappy,10.87
20,4,19,17,14,19,29,10,19,27,none,12.13
16,15,39,15,13,9,9,7,7,18,lz4,7.8
8,12,87,20,2,4,8,26,48,30,lz4,12
7,6,67,16,6,19,12,20,43,64,none,13.54
20,14,87,17,11,11,9,27,44,18,snappy,13.9
16,11,15,8,15,17,10,7,24,16,gzip,7.15
13,17,95,15,19,15,24,19,17,74,none,11.63
5,14,75,7,16,13,15,31,36,70,gzip,7.09
10,4,29,10,9,9,29,37,17,33,none,11.82
5,15,76,9,5,3,16,34,6,16,gzip,7.89
14,7,77,17,17,2,20,31,6,93,lz4,7.03
8,11,65,3,20,18,4,32,47,95,gzip,7.02
11,6,33,8,12,16,29,20,5,82,gzip,8.08
4,24,21,18,13,19,6,1,7,30,snappy,7.93
16,22,36,12,4,2,17,24,37,71,none,12.21
5,14,17,5,19,1,9,21,12,51,none,10.19
5,11,43,11,6,15,17,26,43,51,snappy,13.47
9,8,57,17,6,7,13,9,64,73,none,13.5
17,9,94,7,11,11,17,9,35,16,none,14.68
13,16,77,7,1,13,12,9,13,24,gzip,7.34
3,12,63,2,2,14,26,42,31,5,none,10.79
17,5,61,1,3,16,21,29,51,47,snappy,12.17
10,7,17,13,2,5,6,32,24,45,lz4,10.8
11,6,54,20,20,19,21,42,57,50,none,14.68
14,14,29,2,12,3,14,12,42,69,none,12.97
18,18,54,2,9,11,13,9,15,13,gzip,7.37
17,18,17,4,8,19,29,44,27,35,gzip,7.09
16,20,62,13,6,19,5,4,5,28,gzip,8.25
18,18,57,10,8,7,19,34,26,86,lz4,12.43
8,17,91,16,12,11,15,25,33,27,snappy,13.32
15,23,94,8,10,12,15,26,7,26,lz4,7.97
15,8,49,12,2,17,18,26,60,93,lz4,12.81
1,4,41,6,18,9,29,28,40,33,snappy,13.56
5,18,82,16,3,16,29,1,34,3,lz4,12.34
5,15,91,14,1,5,16,17,9,72,none,7.9
10,14,35,18,3,13,22,43,18,52,gzip,7.25
5,5,34,4,13,9,17,16,36,29,none,13.41
14,9,87,11,1,13,9,44,53,61,lz4,11.1
5,15,91,7,6,2,25,3,23,70,gzip,7.03
6,22,28,3,5,8,30,17,59,53,snappy,12.58
8,16,13,19,13,2,29,46,60,51,none,14.28
16,12,70,10,19,20,12,20,17,60,lz4,11.45
17,19,73,18,11,13,3,16,20,38,gzip,7.18
6,8,63,2,16,20,21,33,16,78,lz4,10.1
6,10,98,18,11,12,18,14,52,56,gzip,6.97
9,7,74,16,2,14,8,27,35,94,gzip,7.01
3,15,83,4,9,8,7,16,32,84,lz4,12.99
10,24,40,20,5,10,21,29,53,3,snappy,12.89
5,18,30,4,2,5,8,33,9,32,none,8.68
19,5,52,9,16,15,8,20,42,38,gzip,6.86
12,19,23,10,8,5,25,42,41,21,lz4,13.28
18,8,59,7,11,13,29,6,9,60,gzip,7.7
11,12,56,7,15,20,12,48,27,83,gzip,7.1
3,17,49,7,1,11,2,42,30,90,none,10.33
2,3,78,7,19,12,16,46,5,20,none,6.79
7,5,42,19,16,9,3,1,17,97,none,11.9
8,21,85,8,19,2,9,14,12,65,gzip,7.4
17,9,54,17,2,2,1,26,1,80,gzip,2.92
12,19,69,9,18,9,4,1,8,10,snappy,7.54
2,13,19,6,5,8,18,44,27,87,snappy,11.41
4,14,64,19,17,11,14,48,31,93,snappy,12.92
15,15,17,16,16,14,2,14,9,10,snappy,8.94
10,17,86,4,6,10,10,3,12,14,lz4,9.82
18,13,64,14,7,20,30,39,53,73,snappy,13.3
16,24,46,8,14,4,16,13,33,29,lz4,13.11
11,10,77,4,2,18,18,2,17,96,lz4,9.6
13,21,66,3,17,15,13,45,14,69,gzip,7.37
6,14,70,17,4,6,11,6,51,14,none,13.39
17,6,10,4,18,15,27,21,62,23,lz4,14.74
19,17,59,2,1,19,7,47,16,79,gzip,7.19
20,13,61,15,5,13,16,43,51,35,gzip,7.03
20,19,70,7,4,8,30,10,1,74,gzip,2.66
18,23,28,9,13,17,4,43,62,58,snappy,13.3
18,21,78,6,15,14,17,42,35,16,lz4,13.03
5,7,83,3,8,1,26,19,33,79,gzip,7.07
6,6,47,9,19,8,26,12,25,34,gzip,7.18
16,7,99,9,16,14,24,1,55,29,none,8.92
4,14,38,15,9,9,23,7,31,6,gzip,7.09
4,13,85,2,13,1,2,34,55,44,none,12.2
4,7,86,1,10,12,23,32,54,0,none,12.45
12,14,49,18,8,19,4,1,31,23,none,12.96
1,11,55,3,4,11,2,22,51,95,lz4,13.14
6,15,7,13,5,8,7,21,12,74,none,10.56
8,23,76,15,10,4,17,41,5,15,none,6.89
5,23,51,6,2,11,11,41,27,13,gzip,7.04
11,10,20,1,6,9,23,31,50,2,lz4,11.37
2,11,3,14,15,3,22,38,58,48,snappy,13.28
14,6,34,20,19,5,11,22,17,45,snappy,11.63
9,12,76,13,13,13,30,48,57,13,lz4,14.67
6,4,29,15,16,5,20,28,42,26,lz4,14.57
9,11,91,2,16,2,26,25,8,21,none,6.94
2,11,85,20,20,8,9,46,24,18,none,13.03
16,16,15,17,17,19,5,13,31,68,lz4,13.65
4,2,43,20,14,19,14,38,34,44,gzip,7.15
16,1,5,17,20,2,17,40,52,46,none,14.49
9,11,35,2,10,15,15,5,23,25,snappy,11.62
7,11,34,12,5,10,11,22,4,92,none,5.6
14,7,21,9,2,1,22,31,5,82,none,6.39
1,7,4,9,9,20,16,31,58,44,lz4,14.47
17,21,48,19,19,8,15,17,17,33,none,12.13
11,23,39,4,13,10,14,26,45,11,gzip,6.94
15,12,44,7,11,19,19,31,50,87,snappy,14.91
4,3,69,14,8,12,26,33,61,98,snappy,14.89
6,2,3,5,12,20,14,11,39,22,none,14.89
6,10,47,4,13,15,26,45,23,61,gzip,7.12
18,15,5,13,2,15,10,35,22,30,snappy,10.91
11,5,32,14,2,2,20,37,59,10,lz4,12.04
7,10,15,12,4,8,12,40,57,53,none,13.83
15,16,75,8,2,6,13,46,18,70,gzip,7.2
18,2,84,13,18,10,21,36,1,90,snappy,1.8
12,18,84,5,3,18,12,23,8,18,none,8.93
16,11,9,19,4,9,29,10,2,77,none,3.94
6,6,23,12,11,8,12,23,14,62,snappy,11.08
10,24,65,13,6,13,14,30,58,37,lz4,14.81
4,6,71,7,15,20,22,47,31,32,gzip,7.03
13,7,61,17,4,9,6,34,1,2,gzip,2.88
20,1,2,7,13,6,23,9,63,44,snappy,14.36
2,5,49,20,1,10,2,33,64,41,lz4,11.46
20,4,20,18,11,2,23,44,2,27,lz4,3.58
9,8,89,2,9,11,4,40,9,75,snappy,8.1
9,17,22,10,4,1,14,40,29,53,lz4,12.08
10,7,81,5,1,14,17,33,36,95,none,10.79
16,3,71,9,5,7,24,1,60,33,gzip,6.96
15,11,27,12,20,4,30,42,50,76,gzip,7.06
15,12,21,6,17,7,10,17,59,58,none,15.12
9,23,64,13,5,14,20,5,37,19,snappy,13.43
14,21,53,2,14,13,22,1,36,49,gzip,7.06
2,18,30,4,7,16,3,33,13,51,gzip,7.32
7,10,7,13,10,16,15,17,16,94,none,12.3
8,15,62,2,20,2,11,8,39,0,lz4,13.12
13,9,35,9,12,4,22,16,40,99,lz4,14.51
19,23,52,15,15,12,13,35,59,21,gzip,6.94
7,10,41,3,9,4,8,32,51,33,none,13.52
18,2,7,3,13,4,13,16,48,7,lz4,13.63
20,21,81,15,6,10,23,41,49,70,lz4,14.49
8,18,17,10,5,13,19,1,39,94,lz4,13.53
8,11,49,4,8,12,25,1,33,78,gzip,7.03
19,20,15,15,9,15,21,43,41,59,snappy,14.14
