num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
2,21,38,10,20,14,4,30,32,44,none,29.39
1,12,29,7,2,12,10,33,15,28,snappy,12.39
17,14,54,8,7,5,21,24,9,79,lz4,22.63
10,16,22,9,14,8,17,26,10,77,none,28.71
8,8,38,13,13,10,9,15,62,35,lz4,24.75
9,10,50,14,16,10,23,10,13,40,gzip,7.42
17,6,52,20,11,20,10,48,8,75,snappy,22.33
12,2,83,12,10,16,4,14,10,98,gzip,7.61
4,17,93,14,1,5,22,4,15,70,none,13.08
14,18,80,1,16,7,10,8,3,90,gzip,8.81
4,16,53,3,17,8,28,33,1,71,none,8.3
17,9,62,12,11,4,5,29,23,19,gzip,7.12
10,15,88,17,15,5,24,12,43,48,gzip,7.02
4,8,7,12,12,6,15,48,21,73,snappy,22.19
7,6,78,5,20,3,18,33,1,47,snappy,9.48
12,3,48,15,15,20,21,4,7,82,gzip,7.82
17,13,65,9,12,10,8,2,25,66,snappy,24.84
15,1,76,2,3,2,16,8,42,58,lz4,22.6
5,4,24,13,15,1,6,19,20,70,lz4,24.94
6,16,76,13,12,9,7,29,37,71,none,29.61
6,20,8,10,13,1,15,38,64,72,snappy,25.18
7,5,55,8,13,18,9,14,22,50,lz4,24.46
9,14,62,16,15,19,23,3,35,87,snappy,24.87
1,1,67,14,2,9,29,13,14,58,lz4,13.96
20,24,12,19,10,13,9,12,28,59,none,29.64
15,24,70,1,15,3,5,37,19,39,lz4,24.36
19,24,17,7,8,3,12,45,19,66,none,29.45
13,20,41,15,16,5,28,31,6,76,snappy,21.26
14,18,84,19,14,12,11,39,12,99,none,29.36
11,7,46,11,7,19,12,36,26,98,gzip,7.16
1,17,26,17,8,4,23,43,25,58,gzip,7.09
1,22,21,6,6,14,25,43,45,62,none,27.13
1,17,69,8,16,10,19,16,4,7,snappy,19.08
7,7,54,16,5,11,9,28,7,82,snappy,21.44
6,21,86,16,5,8,27,43,19,18,gzip,7.27
3,2,17,2,9,14,12,42,45,35,none,30.75
18,4,30,12,3,15,3,46,50,9,snappy,21.18
7,15,47,15,20,11,17,20,38,25,gzip,7.03
14,9,91,14,17,19,27,19,64,92,none,30.88
20,16,77,19,10,14,5,31,58,97,none,30.9
16,10,67,20,15,2,1,10,1,47,snappy,9.59
6,11,84,2,10,20,25,18,8,66,none,26.74
4,2,23,3,15,16,13,11,27,19,lz4,24.82
18,24,27,7,3,15,1,9,32,14,snappy,21.09
15,11,34,8,12,18,29,27,53,41,none,32.16
14,5,45,5,8,3,5,12,5,48,gzip,8.33
11,13,85,16,3,15,21,12,41,63,none,25.47
4,14,97,12,4,18,4,17,62,75,lz4,23.63
11,10,47,11,2,1,7,25,44,34,gzip,6.93
4,12,81,12,5,12,6,33,14,46,none,28.25
4,1,18,1,20,11,19,25,14,46,gzip,7.35
19,16,42,12,18,5,14,15,43,20,snappy,24.93
10,23,7,13,10,10,4,2,20,43,lz4,24.87
17,12,19,3,17,14,23,25,54,8,none,31.89
5,21,2,13,3,18,17,26,50,32,lz4,22.02
7,14,52,18,4,4,27,37,3,16,snappy,18.98
13,4,84,2,11,5,25,4,63,4,gzip,7.14
13,23,7,8,19,1,18,15,54,1,gzip,7.96
17,15,50,11,18,19,11,5,22,75,gzip,7.16
10,22,92,10,8,4,12,23,27,84,snappy,23.9
6,8,2,1,13,7,28,4,64,23,none,32.55
7,2,64,10,18,8,18,12,10,6,none,28.1
15,18,50,11,15,4,20,10,13,51,snappy,23.63
20,13,78,3,17,8,16,35,3,7,none,21
18,5,80,11,13,7,22,39,28,29,lz4,25.15
4,14,27,17,13,16,16,20,64,95,none,31.08
12,12,53,3,7,10,19,38,6,63,snappy,21.39
18,18,56,10,14,3,14,23,46,20,snappy,24.59
2,14,73,4,13,9,5,40,56,82,lz4,25.6
18,4,66,7,20,13,6,43,23,82,snappy,25.16
7,15,14,11,19,6,11,4,51,66,snappy,24.97
15,10,53,6,1,3,10,14,63,11,gzip,6.92
5,15,27,19,2,20,28,3,20,64,lz4,19.83
15,9,33,1,19,8,20,32,1,3,none,9.15
19,23,70,5,20,11,15,28,62,72,none,31.59
2,15,78,2,3,18,16,35,48,76,gzip,7.01
19,6,84,11,11,6,16,5,40,72,lz4,25.02
3,3,72,7,18,3,16,44,52,45,none,30.07
4,10,80,15,12,7,9,41,36,30,gzip,7.07
4,18,49,1,1,19,19,5,56,94,gzip,6.92
15,3,50,5,19,19,24,27,54,69,none,32.13
3,22,90,11,15,9,18,1,51,45,none,30.43
13,20,1,9,12,3,1,34,8,38,none,26.96
2,10,96,9,12,1,27,19,25,15,none,30.29
12,13,55,20,14,18,17,27,35,17,gzip,6.96
19,7,25,12,9,6,27,39,24,23,lz4,24.65
5,10,65,12,1,20,22,33,30,81,none,15.59
9,23,55,20,7,3,27,22,15,20,snappy,23.71
9,9,82,16,17,4,21,40,52,7,snappy,24.06
13,8,28,13,13,20,1,34,16,67,gzip,7.32
11,14,23,17,1,2,22,21,17,63,none,15.14
14,17,62,15,5,18,23,43,29,78,snappy,24.51
2,15,74,6,19,6,3,45,64,100,snappy,23.83
6,7,12,12,17,15,1,38,18,40,none,30.74
14,10,85,11,18,5,13,37,23,16,none,30.25
11,10,81,7,20,12,24,27,46,81,gzip,6.97
20,13,67,18,16,13,25,24,54,1,gzip,8.16
19,4,90,13,16,17,6,12,53,60,lz4,25.12
18,5,67,8,4,20,16,16,27,51,lz4,23.23
1,15,58,17,6,20,7,48,48,15,snappy,23.07
1,1,40,6,14,17,10,8,42,37,lz4,24.56
8,10,80,3,12,10,2,31,62,79,gzip,7.01
11,11,34,11,2,19,17,48,55,6,gzip,7.03
1,12,61,20,18,2,18,4,42,79,gzip,7.04
2,24,12,19,13,19,9,14,7,2,snappy,21.05
18,23,75,3,3,6,6,15,11,44,snappy,21.75
15,17,60,20,16,8,30,46,39,87,lz4,25.13
11,3,45,18,9,8,19,21,3,46,snappy,20.75
11,22,60,17,10,1,28,43,43,75,none,30.38
18,20,82,2,18,13,9,3,11,65,none,28.38
2,23,65,14,16,7,12,18,38,83,lz4,25.04
11,11,42,14,10,5,6,19,35,6,gzip,7.04
13,10,9,16,11,16,23,5,10,13,gzip,7.62
3,6,14,6,12,17,23,4,24,35,snappy,24.34
15,17,40,17,13,6,23,36,61,78,none,28.02
2,18,96,1,2,17,28,40,22,32,snappy,15.59
10,5,39,7,14,16,18,40,22,73,snappy,24.87
18,13,25,4,15,6,1,11,61,28,snappy,24.26
13,23,100,14,19,13,2,29,55,79,gzip,7.01
17,21,33,20,11,17,4,31,51,95,lz4,24.84
14,9,47,10,9,11,30,45,38,69,lz4,24.57
19,21,16,5,1,20,4,33,54,11,none,16.12
7,11,21,15,10,6,17,44,51,44,snappy,25.22
9,19,51,8,19,19,12,4,64,74,gzip,7
11,13,42,18,11,11,2,12,47,50,none,31.89
14,22,77,11,17,7,26,40,6,84,lz4,21.82
15,6,46,2,11,14,20,43,36,0,snappy,22.85
11,5,51,4,20,6,27,9,10,46,none,28.35
11,22,19,14,20,17,6,30,21,7,none,30.43
14,11,71,1,5,10,16,16,25,67,snappy,23.88
20,2,84,7,20,7,11,15,53,91,none,31.4
3,6,45,16,1,7,23,31,23,53,snappy,14.64
18,18,37,5,19,20,5,31,29,89,none,31.15
4,11,95,1,1,2,16,29,25,8,lz4,14.84
14,1,79,5,4,3,21,44,48,95,snappy,24.2
8,8,92,1,16,9,13,2,17,52,none,29.77
12,7,84,6,11,3,29,1,2,76,lz4,15.67
13,13,7,7,13,17,17,3,48,98,gzip,6.95
13,3,94,6,20,11,5,25,40,68,gzip,6.92
15,2,70,18,14,1,6,22,27,42,none,31.71
13,6,15,20,4,17,11,5,40,22,lz4,23.36
10,7,33,12,18,9,7,28,42,43,none,32.01
4,20,53,4,2,8,28,6,19,86,gzip,7.25
3,1,11,11,7,9,19,16,19,80,gzip,7.22
12,16,18,12,2,3,14,2,19,96,lz4,20.27
19,11,20,11,8,9,11,26,25,34,none,29.86
2,17,75,3,12,12,26,7,60,62,lz4,25.21
5,8,33,4,9,8,25,25,57,28,none,31.49
5,13,97,14,20,6,9,20,28,25,snappy,25.05
18,24,44,11,16,15,7,3,61,37,none,32.62
19,9,70,5,13,10,12,39,32,92,lz4,25.05
15,5,28,2,20,9,14,33,49,16,none,32.32
10,7,36,5,10,16,20,6,5,81,lz4,20.94
8,23,22,9,19,13,13,13,28,82,snappy,24.98
1,18,93,17,2,8,14,19,55,51,gzip,6.99
1,11,55,13,18,20,24,25,44,19,gzip,6.99
7,15,10,16,6,11,3,20,37,79,gzip,6.99
18,17,24,16,16,6,18,44,45,1,none,30.19
9,11,30,1,6,18,25,16,33,60,lz4,24.98
19,9,93,17,12,7,30,42,10,84,none,28.9
10,4,80,18,8,14,4,11,26,21,gzip,7.1
5,14,49,12,14,8,5,22,22,60,lz4,24.38
17,22,100,20,10,7,12,23,27,46,lz4,25.36
19,2,95,2,18,16,22,10,27,93,none,30.67
14,13,91,7,7,18,1,17,23,76,lz4,24.99
8,2,78,9,8,7,1,21,60,91,none,30.76
8,8,50,17,16,7,6,35,39,84,gzip,7.04
14,16,49,4,4,14,21,37,33,91,none,28.29
5,15,52,12,3,9,10,6,50,4,none,26.65
12,24,80,4,16,18,29,47,10,71,lz4,23.42
16,6,70,16,2,7,13,9,54,62,snappy,20.48
14,10,39,1,10,6,5,27,36,65,lz4,25.36
14,10,72,4,13,9,17,25,6,28,none,27.26
1,17,100,2,11,10,19,44,15,18,none,27.53
17,12,12,20,2,6,10,20,57,52,none,21.45
17,11,55,9,6,9,2,39,2,32,lz4,14.9
17,10,14,17,18,9,2,4,7,19,gzip,7.9
13,10,83,10,10,5,4,40,57,55,none,30.35
16,20,99,1,17,11,5,27,24,42,none,31.35
9,18,92,20,5,1,16,9,56,67,snappy,22.11
15,18,32,10,11,12,18,20,59,73,snappy,24.87
19,19,33,2,16,2,5,30,2,24,snappy,16.49
9,14,91,9,6,16,12,18,63,70,none,30.12
1,9,37,3,1,3,9,40,58,0,gzip,8.21
17,14,77,2,18,3,19,2,37,1,none,30.73
19,21,7,19,7,3,24,26,15,52,snappy,23.67
5,7,53,11,15,4,12,12,4,45,snappy,22.18
13,23,12,6,17,10,28,16,27,75,gzip,7.07
18,4,15,15,6,9,16,27,51,55,none,31.1
3,8,81,19,1,20,22,19,11,39,gzip,7.32
5,23,7,15,12,18,2,36,47,79,lz4,24.87
7,1,20,6,14,15,17,35,47,93,gzip,6.95
1,5,71,14,19,1,23,34,24,68,gzip,7.13
6,23,4,13,17,19,8,19,57,35,snappy,24.92
6,10,1,6,3,17,28,29,61,18,snappy,22.05
5,12,73,17,9,4,16,17,40,92,gzip,7.06
20,2,49,4,7,14,21,10,48,14,none,31.45
14,18,20,7,9,12,7,16,6,44,gzip,7.97
19,21,26,18,2,7,20,35,36,32,gzip,6.91
9,9,69,18,15,7,10,29,11,61,snappy,23.39
14,23,1,13,10,8,23,46,43,86,gzip,6.93
6,8,23,17,17,5,17,44,7,39,gzip,7.89
1,13,61,17,20,9,23,13,16,39,gzip,7.37
4,23,11,16,16,19,29,8,40,68,none,30.63
12,8,53,10,4,15,12,21,31,71,snappy,23.35
4,10,55,15,9,17,27,39,63,68,gzip,6.92
1,21,84,7,10,14,27,10,38,32,lz4,24.42
2,22,89,13,15,14,6,3,54,39,snappy,25.13
1,2,27,17,4,8,7,12,22,2,none,25.67
12,4,15,7,16,6,6,22,9,14,lz4,22.71
16,14,88,5,16,9,25,30,33,67,snappy,25.05
6,20,100,17,1,14,11,42,56,27,snappy,14.33
14,18,74,17,1,10,8,37,61,92,snappy,14.78
19,17,37,15,16,17,10,38,55,93,gzip,7.07
4,22,16,8,10,18,28,43,40,87,gzip,7.03
13,6,17,3,5,19,3,7,26,75,lz4,24.35
18,11,35,16,19,2,3,29,34,11,lz4,24.86
12,22,14,6,7,7,4,17,9,87,none,28.12
8,9,65,16,3,8,5,46,26,38,none,25.92
17,17,27,9,5,7,9,44,8,81,lz4,21.66
1,24,27,9,3,14,15,43,33,98,gzip,7.09
18,18,85,17,19,11,29,45,45,61,snappy,25.06
3,13,54,13,19,15,4,35,44,90,gzip,7
4,23,5,14,13,18,26,18,27,81,snappy,24.61
7,21,69,1,20,11,15,13,18,26,none,30.5
19,16,2,6,7,3,28,44,46,85,gzip,7.08
19,11,6,15,8,10,9,27,29,6,none,30.51
3,11,22,2,5,18,16,18,8,100,lz4,22.28
13,8,75,6,19,15,5,24,1,89,snappy,9.34
14,17,44,2,15,2,20,48,35,49,snappy,24.35
20,6,94,4,10,8,4,4,21,56,gzip,7.23
15,1,17,17,20,7,25,11,36,70,gzip,6.99
8,19,18,11,9,15,24,37,35,98,gzip,7.1
20,21,39,20,18,9,13,26,34,59,none,32
17,21,41,15,19,3,26,37,5,73,snappy,20.91
18,7,43,12,7,7,25,12,18,24,none,30.09
13,11,19,5,19,17,17,46,46,37,none,31.75
8,23,61,7,3,3,3,46,31,44,gzip,7.13
10,15,99,14,15,6,22,14,56,65,snappy,24.56
19,6,4,8,6,15,7,47,30,79,lz4,25
8,24,53,8,12,17,9,43,60,21,lz4,25.25
5,1,67,17,10,6,24,48,42,23,gzip,7
3,15,84,1,4,9,20,31,60,16,none,27.59
5,4,97,2,12,15,17,24,24,83,lz4,25.17
6,9,5,20,15,15,12,30,59,68,snappy,25.45
12,11,69,13,17,17,19,24,31,34,none,31.67
2,15,18,7,1,9,29,31,60,24,snappy,14.74
18,23,95,17,19,16,26,16,50,41,gzip,7.01
1,11,66,17,7,5,7,46,37,32,gzip,7.11
13,20,81,17,19,9,5,13,37,16,lz4,24.85
13,1,17,19,20,19,29,45,38,59,none,31.95
19,18,79,15,20,10,10,14,12,55,none,29.77
17,8,22,6,14,2,19,5,61,20,lz4,24.51
15,22,75,3,16,15,20,41,30,41,lz4,25.08
13,20,100,8,8,19,14,13,18,53,gzip,7.22
7,21,23,17,18,7,13,43,17,84,gzip,7.26
5,1,59,8,20,8,27,4,24,13,lz4,24.05
9,7,92,12,2,3,1,18,40,54,snappy,20.27
6,13,87,7,9,18,14,24,58,89,none,30.86
1,19,11,19,3,9,21,27,42,100,snappy,19.47
5,9,49,10,10,9,10,28,35,27,gzip,6.94
18,10,71,5,13,6,6,26,40,11,lz4,22.3
9,20,23,10,14,13,8,5,16,47,snappy,23.78
20,2,24,9,11,8,15,22,15,69,lz4,23.74
12,6,23,4,3,17,17,38,13,26,none,24.86
9,7,67,14,19,13,22,6,61,24,gzip,7.03
11,7,18,10,19,18,23,5,48,10,snappy,24.97
15,8,61,15,2,16,19,10,64,1,snappy,19.95
