num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
3,2,25,12,19,7,13,19,24,14,none,34.26
5,4,38,2,6,7,30,31,59,3,lz4,29.41
15,1,80,15,20,8,26,14,42,24,none,33.33
16,24,22,16,13,15,13,8,31,2,none,33.69
15,15,11,1,17,5,29,5,62,57,none,34.58
10,5,97,18,18,11,7,20,59,65,snappy,30.24
19,6,90,3,1,1,19,36,27,10,lz4,11.98
3,5,73,1,18,7,21,8,25,82,snappy,29.17
1,14,14,14,8,19,10,42,13,18,gzip,9.89
4,12,21,10,15,8,4,19,28,6,gzip,9.53
7,15,63,14,12,15,12,30,30,19,snappy,29.97
15,23,87,20,11,6,30,28,50,61,none,33.25
14,23,60,1,20,19,6,37,45,16,gzip,9.4
20,18,44,10,4,2,17,5,45,95,gzip,9.49
9,12,41,3,2,9,16,25,1,55,gzip,13.57
14,16,65,14,14,3,19,3,48,18,gzip,9.41
15,13,3,14,6,13,4,48,49,5,none,33.07
13,5,47,15,15,17,9,15,34,0,snappy,30.04
8,19,49,16,4,9,7,8,12,64,gzip,10.13
12,11,39,8,5,10,8,24,38,42,gzip,9.47
1,9,57,9,19,18,5,39,39,37,snappy,29.79
15,2,64,6,8,9,5,6,34,80,snappy,29.52
7,20,27,8,3,9,6,1,17,99,lz4,20.3
9,17,16,20,19,16,9,30,30,38,snappy,29.45
15,1,21,10,5,14,19,31,23,5,none,32.46
3,6,52,12,19,3,2,33,55,37,lz4,26.3
2,13,14,9,17,20,1,27,10,80,lz4,28.83
11,20,95,6,13,18,9,24,7,76,lz4,27.26
18,13,25,14,1,18,12,24,46,68,snappy,13.08
9,5,75,20,16,18,23,21,64,95,snappy,30.46
14,14,37,1,12,19,21,12,12,21,gzip,10.2
3,4,37,13,19,3,6,6,56,51,none,32.25
6,13,76,1,13,20,16,12,36,97,lz4,31.18
2,9,68,14,2,1,2,7,17,37,snappy,13.24
2,9,89,10,12,10,15,16,47,63,gzip,9.38
11,4,52,14,15,18,2,29,7,18,none,31.52
16,20,40,11,6,6,8,40,20,37,none,33.15
8,13,80,4,19,6,8,25,48,29,snappy,28.58
2,6,62,3,5,14,26,46,57,93,snappy,25.6
18,1,59,16,8,15,16,3,38,68,none,31.09
3,24,19,9,2,18,23,45,55,67,none,19.79
8,9,57,3,5,6,8,14,43,81,gzip,9.45
15,22,90,1,10,9,18,16,23,38,snappy,29.57
3,1,37,8,6,2,22,44,36,19,none,22.24
14,23,80,10,11,14,26,23,11,45,gzip,10.18
4,11,79,10,8,17,26,46,40,6,snappy,29.79
6,6,76,2,15,6,11,37,60,67,lz4,29.99
14,10,71,11,14,10,16,42,34,70,lz4,29.68
2,10,42,11,17,18,22,44,3,48,none,15.67
16,22,44,12,18,18,20,26,61,67,snappy,30.35
14,5,56,9,2,10,5,45,48,67,snappy,17.71
16,19,11,18,10,9,28,28,60,85,none,34.85
15,21,4,9,13,15,15,36,63,85,none,34.86
15,1,25,19,11,3,13,3,61,30,none,30.51
10,17,57,6,7,13,26,27,64,80,gzip,9.28
5,24,28,3,9,19,10,3,52,26,snappy,30.19
8,17,91,14,6,19,26,31,48,65,gzip,9.22
17,2,94,3,9,2,23,33,42,72,gzip,9.26
10,18,39,3,19,12,21,39,30,4,none,34.53
19,20,54,13,16,14,29,11,35,89,snappy,29.67
11,19,96,7,6,7,26,5,13,64,none,31.68
4,19,92,19,4,11,27,48,63,62,gzip,9.29
9,4,24,3,12,18,3,36,10,1,snappy,28.64
2,9,1,17,16,3,26,7,64,19,lz4,28.59
7,14,29,20,5,15,2,30,6,94,none,23.19
9,21,42,14,12,4,9,14,28,81,snappy,29.34
20,5,96,11,10,19,9,27,18,8,snappy,29.19
4,1,28,18,5,16,9,13,41,31,lz4,29.16
12,7,75,15,1,18,8,42,6,69,snappy,12.26
13,3,38,7,5,15,7,35,34,79,lz4,29.22
15,19,30,15,10,16,17,23,45,49,lz4,30.42
5,18,29,9,10,9,9,33,56,39,gzip,9.31
20,10,40,14,10,6,7,12,12,17,none,27.16
1,21,59,16,12,3,22,1,3,12,lz4,10.23
18,8,16,6,15,14,27,31,8,68,none,33.07
19,7,26,7,14,5,21,32,58,53,lz4,29.75
5,23,75,13,13,13,4,37,55,65,lz4,30.24
5,5,66,7,2,3,1,21,27,72,gzip,9.51
1,12,15,4,5,15,23,41,57,30,lz4,24.39
13,4,23,9,2,19,6,30,63,91,lz4,17.35
6,5,71,14,9,15,23,2,54,99,none,30.84
3,16,85,3,19,4,20,22,18,40,gzip,9.62
10,1,48,18,6,20,3,47,28,29,snappy,28.81
10,9,25,4,6,4,7,29,8,87,none,23.85
10,6,16,3,16,14,7,41,31,35,none,34.72
4,15,71,7,19,9,16,7,5,25,lz4,12.97
12,17,96,4,9,3,3,3,13,88,none,30.42
20,21,93,14,15,19,8,18,55,3,none,34.62
6,7,26,1,7,10,15,12,63,88,gzip,9.21
7,24,2,19,12,10,28,19,15,9,gzip,9.85
5,20,18,13,12,1,22,41,53,64,gzip,9.41
18,19,31,2,6,3,3,23,4,5,snappy,16.42
5,14,26,13,9,20,18,34,5,40,snappy,11.64
18,20,93,20,2,12,10,7,38,91,gzip,9.49
1,13,68,13,4,5,9,4,44,4,lz4,16.5
2,4,19,14,9,15,30,21,12,52,gzip,10.15
2,8,2,16,5,15,5,21,21,86,none,27.28
2,20,73,15,7,3,19,48,17,55,none,27.08
13,18,73,14,14,19,7,37,2,17,gzip,12.54
9,7,38,20,9,19,10,44,36,94,gzip,9.27
10,9,56,14,10,1,23,45,10,39,lz4,27.61
4,20,42,11,6,2,4,48,46,91,lz4,28.8
