num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
3,8,10,1,10,10,10,16,4,0,none,7.26
17,5,19,3,16,17,1,16,37,97,gzip,7.02
14,21,65,12,5,6,2,1,29,84,lz4,13.45
16,10,87,14,15,14,2,47,15,49,snappy,11.89
13,8,14,1,19,7,3,28,57,45,lz4,15.88
19,19,31,17,3,1,4,46,28,40,lz4,12.33
6,14,90,16,12,4,4,22,4,21,gzip,8.35
4,21,84,5,11,12,5,6,18,4,gzip,7.13
12,18,73,2,6,4,6,36,25,19,none,13.63
11,2,70,5,5,6,7,32,59,34,lz4,14.93
3,4,94,4,17,13,7,21,48,36,lz4,16.01
11,15,98,2,18,2,8,18,50,71,none,15.14
8,9,2,10,19,5,9,15,61,64,none,15.85
1,5,17,16,11,1,9,41,55,13,lz4,14.44
16,1,60,5,15,18,10,37,8,51,gzip,7.77
7,4,69,3,3,12,11,11,48,65,snappy,13.65
16,14,58,14,4,16,12,39,35,58,snappy,13.43
10,16,51,6,4,9,12,7,63,96,none,14.91
10,2,35,3,9,3,13,31,32,92,snappy,14.09
12,19,79,15,6,19,14,25,11,67,lz4,10.89
17,11,38,1,10,15,15,45,13,15,snappy,11.43
1,12,56,11,7,3,15,3,6,29,gzip,8.02
8,10,36,19,13,11,16,14,33,62,none,15
9,1,4,19,11,10,17,9,46,56,snappy,15.41
3,20,9,7,8,12,18,29,44,72,snappy,14.94
15,17,45,12,18,11,18,8,39,44,lz4,15.05
