num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
3,8,10,1,10,10,10,16,4,0,none,7.11
20,24,23,14,3,4,17,21,28,29,lz4,12.5
19,24,44,19,20,7,18,31,6,97,none,8.73
18,7,21,17,1,17,12,9,40,51,none,11.63
14,9,50,11,14,6,7,15,55,28,gzip,6.85
13,9,27,11,5,13,30,33,7,50,snappy,8.93
20,2,21,7,3,6,25,39,37,0,snappy,12.73
8,17,95,16,16,6,4,45,49,18,lz4,15.22
20,12,86,10,13,11,18,12,10,60,none,10.77
3,24,53,12,4,5,22,22,16,25,snappy,11.63
8,3,8,6,3,13,17,10,28,3,gzip,7.25
14,6,12,14,4,11,20,8,40,37,gzip,7.03
2,23,10,3,9,9,30,39,43,17,gzip,7
2,21,44,15,9,5,1,37,63,29,gzip,6.98
6,11,93,16,11,2,21,42,47,25,gzip,7.03
1,6,87,12,12,18,25,37,54,33,lz4,14.9
15,8,69,4,12,3,17,42,30,11,none,14.64
2,5,66,11,6,18,23,2,60,31,none,14.56
13,10,35,18,12,10,13,44,12,14,gzip,7.38
1,20,77,17,9,8,14,48,42,33,lz4,14.53
5,1,66,11,18,15,13,45,31,46,gzip,7.02
11,4,16,17,8,8,29,39,37,5,lz4,13.6
17,15,97,4,18,5,23,46,37,18,lz4,14.59
20,5,70,17,14,3,15,2,6,92,lz4,8.29
4,14,76,13,5,16,25,39,37,57,snappy,13.47
17,8,67,20,9,9,22,11,26,42,snappy,13.24
7,6,93,16,18,16,24,43,51,37,lz4,15.62
15,9,63,17,14,17,6,22,33,41,snappy,14.28
1,6,87,12,12,16,25,37,54,33,lz4,15.61
2,4,51,4,16,8,10,17,64,45,gzip,6.94
7,6,93,16,18,16,24,43,51,37,lz4,15.76
