num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
3,8,10,1,10,10,10,16,4,0,none,22.8
1,20,17,17,12,9,24,47,2,19,gzip,11.89
1,1,43,14,18,12,25,17,31,85,lz4,29.83
3,1,22,1,5,3,20,35,41,67,none,34.19
17,18,57,19,1,15,17,25,31,11,gzip,9.33
16,19,2,11,2,11,28,41,31,89,lz4,21.72
4,17,28,9,14,1,9,39,62,73,none,34.87
2,18,54,18,12,1,16,13,27,10,lz4,29.61
10,13,9,20,20,18,7,48,36,57,lz4,31.01
20,17,15,9,2,12,5,41,30,18,none,22.54
10,22,34,19,5,11,15,15,36,6,snappy,29.81
10,21,98,18,3,11,1,20,38,83,snappy,27.28
18,2,8,13,17,18,27,22,45,13,lz4,29.99
20,11,70,13,6,14,11,38,44,75,snappy,31.28
4,8,18,7,3,8,6,10,45,20,snappy,26.85
6,10,89,19,14,8,24,17,23,59,none,34.74
10,20,17,4,2,15,25,3,45,20,lz4,15.46
3,5,36,20,6,7,22,6,18,9,none,22.04
14,22,39,8,7,4,29,3,45,58,snappy,29.7
20,15,19,2,2,1,1,46,48,79,gzip,9.29
7,5,24,1,16,11,27,14,46,15,none,35.13
12,8,24,8,13,15,23,21,6,60,lz4,27.4
2,11,87,9,17,5,8,41,53,17,none,22.94
18,21,21,3,8,9,4,43,27,9,none,34.21
3,8,72,9,15,14,30,8,51,89,none,35
13,12,9,14,8,10,20,37,45,12,none,34.84
19,3,55,2,16,6,28,26,52,38,none,34.44
15,23,23,4,17,9,6,31,32,87,none,35.15
16,11,21,13,14,7,19,8,53,95,none,34.48
15,13,19,10,14,19,18,25,45,12,snappy,29.49
15,23,23,4,17,9,6,31,32,87,none,34.73
