num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
11,16,77,13,6,16,18,10,35,38,gzip,2.71
9,14,44,8,17,12,28,34,55,77,none,11.87
9,19,28,0,17,9,19,42,46,27,lz4,13.39
17,16,71,13,13,0,17,20,1,62,snappy,3.83
17,22,29,12,17,4,26,19,3,41,snappy,5.84
18,17,36,4,19,4,2,17,50,94,gzip,2.65
16,13,17,5,0,16,12,39,40,97,lz4,9.87
17,9,56,14,15,17,7,34,25,54,lz4,12.01
19,13,74,12,8,0,13,32,36,80,snappy,11.48
13,2,12,18,16,11,9,47,20,7,gzip,2.61
8,7,14,4,3,11,27,10,44,17,none,10.91
11,10,87,3,16,6,17,42,51,13,none,11.52
15,8,4,10,8,6,3,1,14,11,lz4,10.58
18,6,32,14,19,4,7,23,60,72,lz4,13.35
0,2,90,14,11,8,28,40,35,99,none,11.06
1,15,48,15,5,6,20,12,45,27,gzip,2.69
19,23,14,2,11,10,7,46,12,85,lz4,9.66
10,3,55,15,19,3,14,13,10,20,lz4,9.43
11,17,19,9,10,7,24,31,36,28,lz4,12.88
6,20,23,13,13,17,16,10,4,92,gzip,2.89
18,19,65,0,14,9,19,23,29,81,lz4,12.39
4,6,82,11,1,9,4,42,46,26,lz4,11.32
