num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
18,13,2,11,1,11,8,29,15,19,snappy,15.85
1,5,54,9,19,0,1,2,17,43,snappy,15.57
5,23,91,15,6,8,6,26,25,73,gzip,2.66
4,20,92,2,12,2,13,0,40,13,gzip,2.64
11,20,29,5,19,19,15,10,49,69,gzip,2.66
4,4,22,9,2,4,8,38,50,24,snappy,16.59
7,0,27,12,3,14,17,2,13,19,gzip,2.74
1,7,24,0,16,3,14,0,27,51,lz4,17.22
14,0,75,12,8,19,21,26,62,69,lz4,17.08
7,12,41,16,5,16,23,20,45,16,snappy,16.32
5,5,44,11,6,1,15,25,47,14,gzip,2.61
8,20,38,8,7,11,10,39,52,14,none,20.81
19,22,67,15,10,6,4,17,48,38,gzip,2.65
12,7,48,9,18,14,24,25,38,95,none,20.49
18,23,39,3,18,7,20,41,60,15,none,19.87
18,1,26,1,19,13,7,10,61,44,none,20.05
1,2,7,10,10,0,9,3,41,39,none,19.79
17,5,47,7,1,15,16,43,7,78,snappy,15.34
10,1,44,15,14,14,5,45,55,33,none,20.68
11,12,79,14,7,8,11,29,62,9,gzip,2.65
10,16,38,8,14,12,5,45,52,33,none,20.21
13,14,93,19,7,11,10,39,36,50,none,19.76
8,6,0,13,13,9,28,34,34,45,none,20.99
