num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
10,6,54,13,13,12,17,25,50,62,snappy,14.79
14,28,48,9,23,19,33,49,64,23,lz4,13.64
16,10,63,7,22,16,18,53,81,72,lz4,13.07
23,6,72,14,16,12,31,48,53,96,lz4,13.02
12,3,65,20,13,16,28,32,70,95,snappy,12.57
13,6,66,5,13,6,10,37,39,43,snappy,12.44
12,23,106,12,18,13,13,48,34,16,snappy,12.42
13,27,61,4,28,21,37,51,78,41,snappy,12.38
3,14,68,13,17,14,25,48,36,37,snappy,12.37
9,15,94,12,14,4,24,5,53,54,snappy,12.28
4,9,55,10,16,16,25,37,40,45,snappy,11.88
8,18,27,9,11,12,19,27,34,3,snappy,11.72
16,17,72,10,20,11,11,27,41,28,none,11.67
7,5,36,5,11,10,14,23,33,37,snappy,11.66
7,17,24,14,14,12,11,13,28,28,snappy,11.24
5,9,38,7,9,2,9,10,26,49,snappy,11.2
