num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
19,29,2,15,28,20,20,10,54,54,none,23.4
14,12,67,7,8,17,33,21,52,87,none,20.81
13,24,10,9,24,20,16,2,58,54,none,20.66
14,11,25,1,8,9,20,26,44,44,none,20.49
8,24,59,9,15,11,18,15,29,98,none,20.45
19,21,10,11,22,12,23,7,30,49,none,20.36
30,34,4,12,25,17,23,23,66,50,none,20.31
4,5,20,9,12,8,11,7,15,58,none,20.27
17,25,89,7,22,15,17,13,25,58,none,20.2
12,12,17,6,9,10,18,2,24,40,none,20.19
6,8,56,5,6,12,23,19,26,33,none,19.36
11,15,19,12,14,13,11,13,58,29,lz4,17.86
10,11,17,14,11,8,9,22,56,56,lz4,17.66
11,3,35,7,7,12,15,43,28,20,lz4,17.6
14,17,16,17,15,11,10,35,75,62,lz4,17.52
15,21,12,18,16,11,12,10,79,70,lz4,17.38
