spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,12091,0.762332401,0.769231896,27,FALSE,TRUE,FALSE,TRUE,snappy,74,56,org.apache.spark.serializer.JavaSerializer,104626
4,12232,0.621369609,0.637888921,25,FALSE,FALSE,TRUE,TRUE,lz4,40,31,org.apache.spark.serializer.KryoSerializer,105093
4,6777,0.834000649,0.507796373,21,FALSE,FALSE,TRUE,TRUE,snappy,16,59,org.apache.spark.serializer.JavaSerializer,105120
4,15073,0.773691987,0.705661271,18,TRUE,FALSE,TRUE,FALSE,snappy,24,21,org.apache.spark.serializer.JavaSerializer,105926
4,8213,0.506455405,0.81193373,11,FALSE,TRUE,FALSE,FALSE,lz4,11,61,org.apache.spark.serializer.JavaSerializer,105989
4,14978,0.454406523,0.59258788,17,FALSE,TRUE,FALSE,FALSE,lz4,96,13,org.apache.spark.serializer.KryoSerializer,106026
4,8026,0.642501366,0.651222839,26,FALSE,FALSE,TRUE,TRUE,lzf,26,24,org.apache.spark.serializer.KryoSerializer,106458
4,11085,0.484979343,0.648293435,17,FALSE,TRUE,TRUE,FALSE,snappy,70,24,org.apache.spark.serializer.KryoSerializer,106504
4,6800,0.533425261,0.480346378,21,TRUE,TRUE,TRUE,FALSE,snappy,10,24,org.apache.spark.serializer.KryoSerializer,106571
4,18473,0.761730305,0.30478679,13,FALSE,TRUE,TRUE,TRUE,lz4,61,64,org.apache.spark.serializer.JavaSerializer,106606
4,12927,0.774898514,0.3057134,12,TRUE,TRUE,FALSE,FALSE,snappy,43,45,org.apache.spark.serializer.KryoSerializer,106821
4,16030,0.502716577,0.448807015,26,FALSE,FALSE,TRUE,FALSE,snappy,26,25,org.apache.spark.serializer.JavaSerializer,107038
4,10934,0.174621008,0.401895243,22,FALSE,FALSE,TRUE,FALSE,snappy,24,29,org.apache.spark.serializer.KryoSerializer,107180
4,18406,0.507260203,0.214611701,14,TRUE,TRUE,TRUE,TRUE,snappy,39,41,org.apache.spark.serializer.JavaSerializer,107196
4,14976,0.499060883,0.759516758,27,TRUE,FALSE,FALSE,TRUE,snappy,8,45,org.apache.spark.serializer.JavaSerializer,107222
4,10490,0.551933494,0.740158452,13,TRUE,FALSE,FALSE,FALSE,snappy,76,61,org.apache.spark.serializer.KryoSerializer,107265
4,14657,0.462749148,0.543538976,15,FALSE,FALSE,FALSE,FALSE,lz4,61,54,org.apache.spark.serializer.KryoSerializer,107560
4,8753,0.344144029,0.604316753,10,FALSE,FALSE,TRUE,TRUE,snappy,42,26,org.apache.spark.serializer.KryoSerializer,107567
4,11870,0.726875201,0.747546223,18,FALSE,TRUE,TRUE,TRUE,snappy,24,39,org.apache.spark.serializer.JavaSerializer,107694
4,4356,0.787230643,0.226600485,12,FALSE,FALSE,TRUE,TRUE,lz4,72,36,org.apache.spark.serializer.JavaSerializer,107724
4,16795,0.745697486,0.353158928,27,TRUE,FALSE,TRUE,FALSE,lz4,87,31,org.apache.spark.serializer.JavaSerializer,107804
4,13247,0.700957277,0.869095104,24,FALSE,TRUE,FALSE,FALSE,lz4,68,24,org.apache.spark.serializer.JavaSerializer,107980
4,11256,0.620422035,0.174566935,9,FALSE,TRUE,TRUE,TRUE,snappy,49,45,org.apache.spark.serializer.JavaSerializer,108088
4,19690,0.304995826,0.23427256,14,FALSE,TRUE,TRUE,FALSE,lzf,14,38,org.apache.spark.serializer.JavaSerializer,108512
4,18464,0.302615796,0.458483063,25,TRUE,TRUE,FALSE,TRUE,lz4,42,23,org.apache.spark.serializer.JavaSerializer,108895
4,13837,0.458852705,0.228253862,8,FALSE,TRUE,FALSE,FALSE,lzf,10,60,org.apache.spark.serializer.JavaSerializer,109014
4,17115,0.654408028,0.453314255,17,TRUE,FALSE,FALSE,TRUE,snappy,19,22,org.apache.spark.serializer.JavaSerializer,109633
4,7814,0.29492855,0.623871239,18,TRUE,TRUE,FALSE,TRUE,snappy,82,37,org.apache.spark.serializer.KryoSerializer,109648
4,10456,0.477030702,0.33799046,25,TRUE,FALSE,TRUE,FALSE,lzf,65,28,org.apache.spark.serializer.JavaSerializer,110344
4,11860,0.639159069,0.877810903,13,FALSE,FALSE,FALSE,TRUE,lzf,51,34,org.apache.spark.serializer.KryoSerializer,110363
4,12322,0.217061115,0.394391902,8,TRUE,TRUE,FALSE,TRUE,lzf,39,12,org.apache.spark.serializer.JavaSerializer,110856
4,18601,0.170731616,0.301571473,20,TRUE,TRUE,TRUE,TRUE,snappy,44,36,org.apache.spark.serializer.KryoSerializer,111634
4,17444,0.737620909,0.585243364,18,FALSE,FALSE,TRUE,TRUE,snappy,56,55,org.apache.spark.serializer.JavaSerializer,112208
4,20419,0.805470116,0.448461275,12,FALSE,FALSE,TRUE,FALSE,snappy,76,16,org.apache.spark.serializer.JavaSerializer,112884
4,5764,0.883602994,0.634347318,20,FALSE,FALSE,TRUE,FALSE,snappy,30,37,org.apache.spark.serializer.JavaSerializer,113029
4,7970,0.286367242,0.872211995,10,TRUE,TRUE,TRUE,TRUE,snappy,51,19,org.apache.spark.serializer.KryoSerializer,114044
2,8095,0.572815223,0.871216703,10,TRUE,FALSE,FALSE,FALSE,snappy,14,8,org.apache.spark.serializer.KryoSerializer,114283
4,15123,0.846517468,0.689695573,22,FALSE,FALSE,TRUE,TRUE,snappy,24,58,org.apache.spark.serializer.KryoSerializer,114778
2,7565,0.206829421,0.664089747,18,FALSE,TRUE,FALSE,FALSE,lzf,67,22,org.apache.spark.serializer.JavaSerializer,115117
2,8371,0.799673774,0.117282844,23,TRUE,FALSE,FALSE,TRUE,lz4,56,30,org.apache.spark.serializer.JavaSerializer,115431
2,4915,0.414574306,0.593903871,24,TRUE,FALSE,FALSE,TRUE,lzf,48,9,org.apache.spark.serializer.JavaSerializer,115908
2,4491,0.614285316,0.563460683,27,TRUE,FALSE,TRUE,FALSE,snappy,50,63,org.apache.spark.serializer.KryoSerializer,115984
2,8832,0.375838023,0.432049153,23,FALSE,FALSE,TRUE,FALSE,snappy,18,33,org.apache.spark.serializer.JavaSerializer,116135
4,18708,0.86086352,0.434674303,13,TRUE,TRUE,TRUE,FALSE,lzf,85,30,org.apache.spark.serializer.KryoSerializer,116603
4,19007,0.736999684,0.859636702,20,TRUE,FALSE,TRUE,TRUE,snappy,52,53,org.apache.spark.serializer.KryoSerializer,116804
