spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
2,4477,0.793726075,0.810780008,202,TRUE,TRUE,TRUE,TRUE,lzf,56,8,org.apache.spark.serializer.JavaSerializer,278854
4,13996,0.789974651,0.688536855,138,TRUE,TRUE,TRUE,FALSE,lz4,15,19,org.apache.spark.serializer.KryoSerializer,295010
4,12413,0.56761003,0.41871708,47,TRUE,FALSE,TRUE,TRUE,lzf,91,43,org.apache.spark.serializer.KryoSerializer,295614
2,10050,0.807897939,0.107735919,160,TRUE,TRUE,FALSE,TRUE,snappy,41,54,org.apache.spark.serializer.KryoSerializer,300090
4,17397,0.583312606,0.26565836,151,TRUE,FALSE,TRUE,TRUE,snappy,85,30,org.apache.spark.serializer.JavaSerializer,300702
4,17296,0.373747464,0.670566678,29,FALSE,TRUE,FALSE,FALSE,lz4,83,23,org.apache.spark.serializer.KryoSerializer,302198
4,16722,0.847897162,0.554291475,43,FALSE,TRUE,FALSE,FALSE,lz4,50,53,org.apache.spark.serializer.KryoSerializer,304096
4,16754,0.460159851,0.306297404,43,FALSE,TRUE,TRUE,FALSE,snappy,51,52,org.apache.spark.serializer.KryoSerializer,308822
4,15301,0.893809959,0.455682265,180,TRUE,TRUE,TRUE,FALSE,lzf,29,30,org.apache.spark.serializer.JavaSerializer,310183
4,19183,0.851893261,0.875073292,43,FALSE,TRUE,FALSE,TRUE,lz4,96,50,org.apache.spark.serializer.KryoSerializer,311272
4,13925,0.727706208,0.479210363,118,TRUE,FALSE,FALSE,TRUE,lz4,91,29,org.apache.spark.serializer.JavaSerializer,313470
3,9698,0.689484515,0.853359384,115,TRUE,FALSE,FALSE,FALSE,lz4,12,46,org.apache.spark.serializer.KryoSerializer,327734
2,8927,0.374187841,0.619860415,208,FALSE,FALSE,FALSE,FALSE,snappy,90,23,org.apache.spark.serializer.JavaSerializer,328347
