spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
2,8944,0.466300285,0.190400918,8,TRUE,TRUE,FALSE,TRUE,lz4,13,59,org.apache.spark.serializer.KryoSerializer,215107
4,13505,0.726326679,0.558866191,16,TRUE,TRUE,TRUE,TRUE,snappy,85,45,org.apache.spark.serializer.KryoSerializer,242677
2,9457,0.633993305,0.292422454,15,TRUE,FALSE,TRUE,TRUE,lz4,88,28,org.apache.spark.serializer.KryoSerializer,246327
2,8987,0.469549852,0.359941593,14,TRUE,TRUE,TRUE,TRUE,lzf,63,16,org.apache.spark.serializer.KryoSerializer,247937
1,5013,0.777762116,0.150217923,14,FALSE,FALSE,FALSE,TRUE,lzf,93,57,org.apache.spark.serializer.KryoSerializer,248986
2,8625,0.708255241,0.569778423,15,TRUE,FALSE,TRUE,TRUE,lzf,67,36,org.apache.spark.serializer.KryoSerializer,253433
4,13385,0.800358607,0.790443611,20,TRUE,FALSE,TRUE,FALSE,snappy,53,23,org.apache.spark.serializer.KryoSerializer,253982
2,10147,0.258598666,0.295688408,20,TRUE,FALSE,TRUE,FALSE,lzf,93,21,org.apache.spark.serializer.KryoSerializer,255493
2,8309,0.15934747,0.371562792,17,FALSE,FALSE,TRUE,FALSE,lz4,18,24,org.apache.spark.serializer.KryoSerializer,259821
2,4165,0.498284035,0.38079405,20,FALSE,FALSE,TRUE,FALSE,lzf,82,51,org.apache.spark.serializer.KryoSerializer,260551
4,18593,0.545746329,0.678587329,20,TRUE,FALSE,FALSE,FALSE,lz4,29,21,org.apache.spark.serializer.KryoSerializer,261360
1,4652,0.529382529,0.528277738,16,FALSE,TRUE,FALSE,FALSE,snappy,27,52,org.apache.spark.serializer.KryoSerializer,265315
1,5008,0.791804173,0.453795331,17,TRUE,TRUE,TRUE,TRUE,lz4,43,45,org.apache.spark.serializer.KryoSerializer,265453
4,17362,0.88398271,0.189872457,17,TRUE,TRUE,FALSE,FALSE,snappy,51,48,org.apache.spark.serializer.KryoSerializer,269128
2,4899,0.490011896,0.834151466,10,TRUE,TRUE,FALSE,TRUE,lzf,39,35,org.apache.spark.serializer.JavaSerializer,269167
4,16555,0.875008975,0.488284602,13,TRUE,TRUE,TRUE,TRUE,lzf,80,43,org.apache.spark.serializer.JavaSerializer,270074
