spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
3,4691,0.761886179,0.1646224,123,FALSE,FALSE,TRUE,FALSE,snappy,85,22,org.apache.spark.serializer.KryoSerializer,192932
3,6659,0.333534781,0.819764261,134,FALSE,TRUE,FALSE,FALSE,lz4,19,19,org.apache.spark.serializer.JavaSerializer,197827
4,17253,0.59965299,0.850175935,77,TRUE,FALSE,TRUE,TRUE,lz4,43,17,org.apache.spark.serializer.KryoSerializer,207477
3,10814,0.287598917,0.363769057,203,FALSE,FALSE,FALSE,FALSE,lzf,81,55,org.apache.spark.serializer.JavaSerializer,208180
2,4530,0.731472118,0.11691158,162,FALSE,FALSE,TRUE,TRUE,snappy,96,53,org.apache.spark.serializer.KryoSerializer,208291
4,4407,0.760968145,0.746281296,42,TRUE,TRUE,FALSE,TRUE,lz4,82,51,org.apache.spark.serializer.KryoSerializer,209226
4,10403,0.693152273,0.632007741,183,TRUE,TRUE,TRUE,FALSE,lzf,89,13,org.apache.spark.serializer.KryoSerializer,211435
3,4499,0.176902105,0.721696128,105,FALSE,TRUE,FALSE,TRUE,lz4,30,30,org.apache.spark.serializer.JavaSerializer,212557
4,15296,0.752676311,0.212705979,148,FALSE,TRUE,TRUE,FALSE,snappy,17,42,org.apache.spark.serializer.JavaSerializer,213106
4,13063,0.121550949,0.222702674,190,FALSE,TRUE,TRUE,FALSE,snappy,44,31,org.apache.spark.serializer.KryoSerializer,213607
4,4855,0.840558012,0.714854931,42,FALSE,TRUE,FALSE,TRUE,lzf,39,9,org.apache.spark.serializer.JavaSerializer,215402
3,15151,0.394794573,0.683321138,157,TRUE,FALSE,FALSE,FALSE,lz4,53,22,org.apache.spark.serializer.KryoSerializer,216236
2,7751,0.814950738,0.298688139,137,FALSE,TRUE,FALSE,TRUE,lzf,8,15,org.apache.spark.serializer.KryoSerializer,217973
3,16244,0.162696927,0.830422715,212,TRUE,TRUE,FALSE,TRUE,snappy,26,15,org.apache.spark.serializer.JavaSerializer,219060
4,10088,0.622544991,0.245157164,199,FALSE,FALSE,FALSE,FALSE,lz4,50,37,org.apache.spark.serializer.JavaSerializer,219341
4,20242,0.464103642,0.141010953,200,FALSE,TRUE,TRUE,TRUE,lz4,80,19,org.apache.spark.serializer.KryoSerializer,219723
3,17215,0.748706426,0.876606603,157,FALSE,TRUE,FALSE,FALSE,lz4,76,39,org.apache.spark.serializer.JavaSerializer,219919
4,9291,0.237155784,0.202375995,141,FALSE,TRUE,TRUE,FALSE,lz4,89,56,org.apache.spark.serializer.JavaSerializer,220095
2,12003,0.462965779,0.159534862,91,FALSE,FALSE,TRUE,TRUE,lzf,80,60,org.apache.spark.serializer.JavaSerializer,220137
4,14311,0.701372745,0.387225925,55,FALSE,FALSE,TRUE,TRUE,lz4,81,59,org.apache.spark.serializer.JavaSerializer,222159
4,17905,0.643976695,0.631219369,146,FALSE,TRUE,FALSE,TRUE,lzf,14,39,org.apache.spark.serializer.JavaSerializer,222171
4,19648,0.650291043,0.206906042,77,FALSE,TRUE,FALSE,FALSE,lzf,54,31,org.apache.spark.serializer.JavaSerializer,222807
3,14219,0.599788275,0.755548879,46,TRUE,TRUE,FALSE,TRUE,lz4,43,30,org.apache.spark.serializer.KryoSerializer,223077
3,13885,0.144162851,0.181021387,190,TRUE,TRUE,TRUE,FALSE,lzf,32,30,org.apache.spark.serializer.KryoSerializer,223893
4,19785,0.822229417,0.634181821,167,FALSE,TRUE,TRUE,TRUE,snappy,56,52,org.apache.spark.serializer.KryoSerializer,224120
3,11721,0.293837341,0.868317554,194,TRUE,FALSE,TRUE,FALSE,lzf,17,25,org.apache.spark.serializer.JavaSerializer,224702
4,6275,0.117706721,0.502885514,207,FALSE,TRUE,FALSE,FALSE,lzf,26,51,org.apache.spark.serializer.JavaSerializer,224708
4,4239,0.887444181,0.212666912,118,FALSE,TRUE,TRUE,TRUE,lzf,37,17,org.apache.spark.serializer.KryoSerializer,225861
1,5782,0.217472777,0.163243065,98,TRUE,TRUE,TRUE,TRUE,lz4,29,34,org.apache.spark.serializer.JavaSerializer,226008
3,10188,0.219594324,0.279613878,202,TRUE,TRUE,TRUE,TRUE,snappy,26,54,org.apache.spark.serializer.KryoSerializer,226252
2,7054,0.547048203,0.139978365,106,FALSE,FALSE,FALSE,FALSE,snappy,47,12,org.apache.spark.serializer.JavaSerializer,226517
3,5468,0.764860231,0.852604903,92,TRUE,TRUE,TRUE,FALSE,lz4,91,45,org.apache.spark.serializer.KryoSerializer,226707
4,7113,0.213290833,0.876447607,55,TRUE,TRUE,FALSE,FALSE,lzf,46,8,org.apache.spark.serializer.JavaSerializer,226997
3,9427,0.51134614,0.610761386,78,FALSE,FALSE,TRUE,FALSE,snappy,62,53,org.apache.spark.serializer.JavaSerializer,227147
4,19359,0.276499937,0.169934072,117,TRUE,FALSE,FALSE,FALSE,lz4,23,43,org.apache.spark.serializer.KryoSerializer,227551
2,10063,0.677079367,0.411436966,172,FALSE,FALSE,FALSE,TRUE,lzf,71,8,org.apache.spark.serializer.JavaSerializer,228809
3,8287,0.298064392,0.791932487,106,TRUE,FALSE,TRUE,TRUE,lzf,52,51,org.apache.spark.serializer.KryoSerializer,228966
4,12798,0.801798784,0.798569961,102,TRUE,TRUE,FALSE,TRUE,lzf,19,41,org.apache.spark.serializer.JavaSerializer,229296
4,4610,0.267301385,0.556823463,101,TRUE,TRUE,TRUE,TRUE,lzf,13,63,org.apache.spark.serializer.JavaSerializer,229538
4,18040,0.492242213,0.14629456,204,FALSE,FALSE,FALSE,TRUE,snappy,17,58,org.apache.spark.serializer.JavaSerializer,229814
3,15991,0.566027595,0.358806122,194,FALSE,TRUE,FALSE,TRUE,lzf,52,59,org.apache.spark.serializer.KryoSerializer,230239
4,8981,0.609438616,0.306621701,57,TRUE,FALSE,FALSE,FALSE,snappy,44,59,org.apache.spark.serializer.KryoSerializer,230313
4,4353,0.676556306,0.874727387,41,TRUE,FALSE,FALSE,FALSE,lz4,55,39,org.apache.spark.serializer.KryoSerializer,230490
2,15400,0.600476558,0.631609523,105,TRUE,TRUE,TRUE,TRUE,lz4,83,55,org.apache.spark.serializer.KryoSerializer,230956
2,11217,0.43611868,0.21242679,54,FALSE,TRUE,FALSE,TRUE,lzf,68,30,org.apache.spark.serializer.KryoSerializer,231051
