spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,16359,0.214875826,0.224606636,37,FALSE,TRUE,TRUE,TRUE,lzf,34,11,org.apache.spark.serializer.JavaSerializer,150827
4,5097,0.305724819,0.327798226,91,TRUE,FALSE,TRUE,FALSE,lzf,38,23,org.apache.spark.serializer.KryoSerializer,151066
4,9204,0.866973383,0.657467842,20,FALSE,TRUE,FALSE,FALSE,lz4,90,9,org.apache.spark.serializer.JavaSerializer,151928
4,7537,0.748910441,0.284386727,47,TRUE,TRUE,TRUE,TRUE,lz4,96,55,org.apache.spark.serializer.KryoSerializer,152101
4,11451,0.127209937,0.664396941,41,TRUE,TRUE,TRUE,TRUE,snappy,64,61,org.apache.spark.serializer.KryoSerializer,153015
4,7237,0.648208815,0.306010813,48,TRUE,TRUE,FALSE,FALSE,snappy,57,23,org.apache.spark.serializer.JavaSerializer,153093
4,7453,0.585689242,0.370776513,249,FALSE,TRUE,FALSE,TRUE,lzf,49,30,org.apache.spark.serializer.JavaSerializer,154791
4,10975,0.889180173,0.369183795,141,TRUE,FALSE,TRUE,TRUE,lzf,28,40,org.apache.spark.serializer.JavaSerializer,155317
4,12973,0.135150087,0.285859386,74,FALSE,TRUE,FALSE,TRUE,lz4,18,38,org.apache.spark.serializer.JavaSerializer,156001
2,6485,0.55376558,0.66166731,29,TRUE,FALSE,FALSE,TRUE,snappy,8,56,org.apache.spark.serializer.KryoSerializer,156928
4,19395,0.505517986,0.5676099,119,FALSE,FALSE,FALSE,FALSE,lz4,25,31,org.apache.spark.serializer.JavaSerializer,157164
4,17392,0.699951308,0.655381183,19,FALSE,TRUE,FALSE,FALSE,lzf,31,61,org.apache.spark.serializer.KryoSerializer,157244
4,4922,0.212988773,0.870251773,302,FALSE,TRUE,TRUE,FALSE,lz4,26,30,org.apache.spark.serializer.JavaSerializer,157500
4,15291,0.753589686,0.858823922,69,TRUE,FALSE,FALSE,TRUE,lzf,77,32,org.apache.spark.serializer.JavaSerializer,157979
4,5033,0.465766808,0.514310334,167,FALSE,TRUE,TRUE,TRUE,lz4,90,52,org.apache.spark.serializer.KryoSerializer,158816
4,14697,0.697619893,0.654354122,84,TRUE,FALSE,TRUE,FALSE,snappy,37,61,org.apache.spark.serializer.JavaSerializer,159307
4,5944,0.491399195,0.62822129,166,TRUE,TRUE,FALSE,TRUE,lz4,72,41,org.apache.spark.serializer.JavaSerializer,160650
4,10681,0.240401174,0.286658799,195,TRUE,TRUE,FALSE,TRUE,lz4,62,45,org.apache.spark.serializer.JavaSerializer,161204
4,12225,0.201874435,0.793504094,137,FALSE,TRUE,FALSE,FALSE,snappy,79,47,org.apache.spark.serializer.JavaSerializer,161537
4,7982,0.417445383,0.291486305,203,FALSE,FALSE,FALSE,TRUE,lz4,93,33,org.apache.spark.serializer.JavaSerializer,162118
