spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,5399,0.634338799,0.549417553,24,FALSE,TRUE,TRUE,TRUE,snappy,45,22,org.apache.spark.serializer.JavaSerializer,104787
4,5221,0.688139899,0.556205681,23,FALSE,TRUE,TRUE,TRUE,snappy,46,24,org.apache.spark.serializer.JavaSerializer,105285
4,11271,0.331862851,0.870458319,13,FALSE,TRUE,FALSE,TRUE,lz4,84,32,org.apache.spark.serializer.KryoSerializer,105679
4,4140,0.6,0.5,8,TRUE,TRUE,TRUE,FALSE,lz4,48,32,org.apache.spark.serializer.JavaSerializer,107698
4,4969,0.669503944,0.591051485,23,FALSE,TRUE,TRUE,TRUE,snappy,48,25,org.apache.spark.serializer.JavaSerializer,109903
4,11045,0.346943959,0.857377416,13,FALSE,TRUE,FALSE,TRUE,lz4,83,31,org.apache.spark.serializer.KryoSerializer,111813
2,8471,0.528274015,0.643131324,9,TRUE,FALSE,FALSE,FALSE,lzf,71,18,org.apache.spark.serializer.JavaSerializer,112972
2,8852,0.587971315,0.604595784,9,TRUE,FALSE,FALSE,FALSE,lzf,67,18,org.apache.spark.serializer.JavaSerializer,113194
2,8883,0.550819996,0.683080349,9,TRUE,FALSE,FALSE,FALSE,lzf,72,15,org.apache.spark.serializer.JavaSerializer,113578
4,10502,0.385787038,0.836425914,13,FALSE,TRUE,FALSE,TRUE,lz4,75,34,org.apache.spark.serializer.KryoSerializer,115679
3,7940,0.272999194,0.141664223,17,FALSE,TRUE,FALSE,FALSE,snappy,36,54,org.apache.spark.serializer.KryoSerializer,130327
3,18214,0.10345372,0.316735804,25,FALSE,TRUE,TRUE,FALSE,lz4,24,10,org.apache.spark.serializer.JavaSerializer,131279
3,8118,0.259744596,0.184592094,16,FALSE,TRUE,FALSE,FALSE,snappy,31,52,org.apache.spark.serializer.KryoSerializer,131621
3,16929,0.111095656,0.340352223,25,FALSE,TRUE,TRUE,FALSE,lz4,20,9,org.apache.spark.serializer.JavaSerializer,132216
3,7348,0.231601345,0.179986339,17,FALSE,TRUE,FALSE,FALSE,snappy,34,50,org.apache.spark.serializer.KryoSerializer,138660
2,19650,0.817589674,0.214474234,11,TRUE,FALSE,TRUE,TRUE,lzf,92,36,org.apache.spark.serializer.KryoSerializer,159570
2,20004,0.801749095,0.202852652,12,TRUE,FALSE,TRUE,TRUE,lzf,88,39,org.apache.spark.serializer.KryoSerializer,170865
1,14210,0.473293766,0.440148213,18,TRUE,FALSE,TRUE,TRUE,lz4,57,43,org.apache.spark.serializer.JavaSerializer,265083
1,14834,0.798823898,0.71621855,21,TRUE,FALSE,FALSE,FALSE,lzf,18,61,org.apache.spark.serializer.KryoSerializer,265813
1,14043,0.40802165,0.495412418,18,TRUE,FALSE,TRUE,TRUE,lz4,59,49,org.apache.spark.serializer.JavaSerializer,267043
1,12697,0.474768436,0.439665134,19,TRUE,FALSE,TRUE,TRUE,lz4,61,43,org.apache.spark.serializer.JavaSerializer,271450
1,15143,0.798532817,0.734747271,20,TRUE,FALSE,FALSE,FALSE,snappy,13,58,org.apache.spark.serializer.KryoSerializer,293519
