spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,8540,0.796766753,0.291790034,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,104408
4,8540,0.796766753,0.291790034,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,104959
4,14619,0.686013983,0.431672028,21,TRUE,TRUE,TRUE,TRUE,snappy,43,38,org.apache.spark.serializer.JavaSerializer,104988
4,14619,0.686013983,0.431672028,21,TRUE,TRUE,TRUE,TRUE,snappy,43,38,org.apache.spark.serializer.JavaSerializer,105963
4,8540,0.796766753,0.291790034,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106128
4,8540,0.796766753,0.291790034,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106230
4,4140,0.6,0.5,8,TRUE,TRUE,TRUE,FALSE,lz4,48,32,org.apache.spark.serializer.JavaSerializer,106335
4,8540,0.796766753,0.291790034,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106447
4,8540,0.796766753,0.291790034,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106568
4,4140,0.6,0.5,8,TRUE,TRUE,TRUE,FALSE,lz4,48,32,org.apache.spark.serializer.JavaSerializer,106640
4,8540,0.796766753,0.291790034,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106668
4,4140,0.6,0.5,8,TRUE,TRUE,TRUE,FALSE,lz4,48,32,org.apache.spark.serializer.JavaSerializer,107302
4,4140,0.6,0.5,8,TRUE,TRUE,TRUE,FALSE,lz4,48,32,org.apache.spark.serializer.JavaSerializer,107457
4,6635,0.62232637,0.591683291,15,TRUE,FALSE,TRUE,FALSE,lzf,64,11,org.apache.spark.serializer.JavaSerializer,107712
4,4140,0.6,0.5,8,TRUE,TRUE,TRUE,FALSE,lz4,48,32,org.apache.spark.serializer.JavaSerializer,107916
4,8540,0.796766753,0.291790034,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107961
4,6635,0.62232637,0.591683291,15,TRUE,FALSE,TRUE,FALSE,lzf,64,11,org.apache.spark.serializer.JavaSerializer,108056
4,4140,0.6,0.5,8,TRUE,TRUE,TRUE,FALSE,lz4,48,32,org.apache.spark.serializer.JavaSerializer,108198
4,6635,0.62232637,0.591683291,15,TRUE,FALSE,TRUE,FALSE,lzf,64,11,org.apache.spark.serializer.JavaSerializer,108244
4,8540,0.796766753,0.291790034,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,108399
4,8540,0.796766753,0.291790034,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,108444
4,4140,0.6,0.5,8,TRUE,TRUE,TRUE,FALSE,lz4,48,32,org.apache.spark.serializer.JavaSerializer,108857
4,14619,0.686013983,0.431672028,21,TRUE,TRUE,TRUE,TRUE,snappy,43,38,org.apache.spark.serializer.JavaSerializer,109251
4,14619,0.686013983,0.431672028,21,TRUE,TRUE,TRUE,TRUE,snappy,43,38,org.apache.spark.serializer.JavaSerializer,110618
4,4140,0.6,0.5,8,TRUE,TRUE,TRUE,FALSE,lz4,48,32,org.apache.spark.serializer.JavaSerializer,110719
2,4267,0.587757474,0.663684062,19,TRUE,FALSE,TRUE,FALSE,snappy,21,34,org.apache.spark.serializer.KryoSerializer,118067
2,4267,0.784322424,0.296606428,11,TRUE,FALSE,FALSE,FALSE,lz4,21,45,org.apache.spark.serializer.JavaSerializer,121185
3,5794,0.473244317,0.691466728,22,TRUE,TRUE,TRUE,FALSE,lz4,73,61,org.apache.spark.serializer.KryoSerializer,130796
3,16750,0.12647853,0.587522226,16,TRUE,TRUE,TRUE,FALSE,lz4,69,20,org.apache.spark.serializer.KryoSerializer,131256
1,8140,0.778157432,0.321944059,24,TRUE,FALSE,TRUE,FALSE,lzf,84,10,org.apache.spark.serializer.JavaSerializer,168120
1,16640,0.785208744,0.162508145,18,TRUE,FALSE,FALSE,FALSE,snappy,10,57,org.apache.spark.serializer.KryoSerializer,263852
