spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,13823,0.179262397,0.808469468,22,FALSE,TRUE,TRUE,FALSE,lz4,71,29,org.apache.spark.serializer.JavaSerializer,105776
4,4428,0.348563266,0.887044682,37,TRUE,TRUE,FALSE,TRUE,lzf,42,27,org.apache.spark.serializer.KryoSerializer,110420
4,17542,0.82732689,0.654305581,31,FALSE,FALSE,TRUE,FALSE,lzf,82,44,org.apache.spark.serializer.KryoSerializer,116756
4,13851,0.803808602,0.361837967,36,FALSE,TRUE,TRUE,FALSE,lzf,59,40,org.apache.spark.serializer.KryoSerializer,122239
3,19834,0.81150184,0.400002721,20,FALSE,FALSE,FALSE,TRUE,lz4,95,26,org.apache.spark.serializer.JavaSerializer,129637
3,11237,0.669173492,0.321681688,21,FALSE,FALSE,TRUE,FALSE,snappy,41,35,org.apache.spark.serializer.JavaSerializer,131558
3,16118,0.78529842,0.321713206,24,FALSE,TRUE,FALSE,FALSE,lzf,66,44,org.apache.spark.serializer.KryoSerializer,133058
3,4835,0.595038864,0.232991934,37,TRUE,TRUE,FALSE,FALSE,lz4,26,32,org.apache.spark.serializer.KryoSerializer,151778
3,11166,0.69505125,0.238429941,22,TRUE,FALSE,FALSE,TRUE,snappy,44,49,org.apache.spark.serializer.KryoSerializer,158190
2,16389,0.590540993,0.685449757,39,TRUE,FALSE,FALSE,FALSE,lz4,68,40,org.apache.spark.serializer.KryoSerializer,183316
3,10332,0.1196275,0.120236515,32,FALSE,TRUE,FALSE,FALSE,snappy,23,13,org.apache.spark.serializer.KryoSerializer,213623
1,17244,0.596130499,0.192295442,28,TRUE,FALSE,FALSE,FALSE,lzf,91,37,org.apache.spark.serializer.JavaSerializer,271125
1,16509,0.514832482,0.273893436,27,TRUE,TRUE,TRUE,TRUE,snappy,29,23,org.apache.spark.serializer.JavaSerializer,285231
1,13856,0.752762176,0.876137721,36,FALSE,FALSE,FALSE,FALSE,snappy,19,15,org.apache.spark.serializer.KryoSerializer,297246
1,14340,0.125552484,0.578565545,35,TRUE,FALSE,FALSE,FALSE,snappy,42,36,org.apache.spark.serializer.JavaSerializer,309671
1,13734,0.636425555,0.179475423,35,FALSE,FALSE,TRUE,TRUE,lz4,21,59,org.apache.spark.serializer.KryoSerializer,310892
1,16299,0.307372185,0.362354235,21,FALSE,FALSE,FALSE,FALSE,lzf,62,43,org.apache.spark.serializer.KryoSerializer,319053
1,12919,0.584473571,0.798417005,22,TRUE,FALSE,FALSE,TRUE,lz4,74,35,org.apache.spark.serializer.KryoSerializer,328254
