hive.exec.reducers.bytes.per.reducer,hive.exec.parallel.thread.number,hive.join.cache.size,hive.merge.smallfiles.avgsize,hive.mapjoin.bucket.cache.size,hive.map.aggr.hash.percentmemory,hive.stats.fetch.partition.stats,hive.optimize.index.autoupdate,hive.merge.mapfiles,hive.exec.parallel,time
264,16,72382,40107422,108,0.7,TRUE,FALSE,FALSE,TRUE,94322
620,22,58786,40419722,203,0.5,TRUE,FALSE,TRUE,FALSE,94403
443,12,26815,33437184,164,0.5,FALSE,TRUE,TRUE,TRUE,94567
757,12,45699,41784501,138,0.9,TRUE,FALSE,TRUE,FALSE,95032
710,23,55365,41668652,162,0.6,TRUE,FALSE,FALSE,TRUE,95214
746,13,39767,39842394,153,0.9,TRUE,FALSE,TRUE,TRUE,95260
346,21,53826,37274598,232,0.5,FALSE,TRUE,TRUE,FALSE,95699
751,23,26475,33010258,208,0.5,TRUE,FALSE,FALSE,FALSE,95805
387,9,44478,34123661,244,0.6,FALSE,FALSE,FALSE,FALSE,96149
358,13,58943,16385618,146,0.7,TRUE,FALSE,TRUE,FALSE,96217
628,20,59935,19367065,141,0.5,FALSE,FALSE,TRUE,TRUE,96276
380,9,30208,35609181,223,0.8,FALSE,TRUE,TRUE,FALSE,96386
355,8,55543,44024946,185,0.6,FALSE,FALSE,TRUE,TRUE,96608
553,16,61227,46054778,292,0.5,FALSE,FALSE,TRUE,TRUE,96706
444,10,70333,25452762,220,0.9,FALSE,TRUE,FALSE,FALSE,96819
709,15,67783,38565696,189,0.7,TRUE,TRUE,TRUE,TRUE,97028
297,20,59125,45155744,176,0.6,TRUE,TRUE,FALSE,FALSE,97194
661,20,33994,26794331,187,0.6,FALSE,TRUE,FALSE,TRUE,97279
367,16,70474,28506775,120,0.5,TRUE,FALSE,TRUE,FALSE,97285
597,10,28463,21032130,123,0.8,TRUE,FALSE,TRUE,TRUE,97337
475,10,30763,29952026,182,0.5,TRUE,FALSE,TRUE,FALSE,97474
292,17,66204,38925269,154,0.8,FALSE,TRUE,FALSE,TRUE,98246
417,17,62977,20455642,262,0.6,FALSE,FALSE,FALSE,TRUE,98547
301,23,30910,41701291,102,0.8,FALSE,TRUE,TRUE,TRUE,98753
362,12,36031,42337940,256,0.5,TRUE,TRUE,FALSE,TRUE,98804
268,14,34773,42118138,142,0.5,TRUE,FALSE,FALSE,TRUE,98917
633,11,68924,28668525,216,0.9,FALSE,FALSE,TRUE,FALSE,99116
677,20,55239,45470613,291,0.7,TRUE,TRUE,TRUE,FALSE,99212
276,21,40006,29891620,233,0.5,FALSE,TRUE,TRUE,TRUE,99222
431,19,38620,24875867,172,0.6,FALSE,FALSE,FALSE,TRUE,99443
296,17,44430,46072189,278,0.7,TRUE,TRUE,FALSE,FALSE,99752
262,10,46152,40239980,267,0.9,FALSE,FALSE,TRUE,TRUE,99840
565,9,50235,26268561,261,0.9,TRUE,TRUE,FALSE,FALSE,99862
486,16,31313,23776905,136,0.6,FALSE,FALSE,TRUE,FALSE,99975
450,12,66408,26351980,198,0.6,FALSE,TRUE,TRUE,FALSE,99988
470,24,59736,18237407,214,0.9,FALSE,TRUE,FALSE,FALSE,100256
538,19,46856,18446085,198,0.8,FALSE,FALSE,FALSE,FALSE,100267
463,21,53979,32155402,204,0.9,TRUE,TRUE,TRUE,FALSE,100436
375,14,66098,23290694,119,0.5,TRUE,TRUE,TRUE,TRUE,100639
507,15,73693,24267581,281,0.5,TRUE,TRUE,TRUE,FALSE,100762
299,17,36705,33286797,272,0.9,TRUE,TRUE,FALSE,TRUE,100815
696,18,67417,44330795,299,0.5,FALSE,TRUE,TRUE,FALSE,101048
670,22,47362,29939012,162,0.9,TRUE,FALSE,FALSE,FALSE,101366
736,18,51074,40359344,225,0.6,TRUE,TRUE,TRUE,FALSE,101417
269,22,30000,45551754,181,0.7,TRUE,TRUE,FALSE,TRUE,101524
321,13,33966,43559896,181,0.9,FALSE,FALSE,FALSE,TRUE,101891
474,18,74367,39179450,224,0.7,TRUE,TRUE,TRUE,TRUE,102268
715,22,62514,17992930,200,0.5,FALSE,FALSE,TRUE,TRUE,102283
554,17,68028,24721574,174,0.8,FALSE,TRUE,TRUE,FALSE,102460
638,17,44781,16207586,181,0.6,FALSE,FALSE,FALSE,TRUE,102479
318,21,69825,27826373,232,0.5,FALSE,TRUE,FALSE,FALSE,102493
313,22,74382,22336501,167,0.8,FALSE,TRUE,TRUE,TRUE,102627
585,20,53915,38168833,113,0.6,FALSE,FALSE,FALSE,TRUE,102982
471,19,33868,35833973,239,0.6,TRUE,FALSE,FALSE,FALSE,102996
422,23,43808,31166253,163,0.7,FALSE,FALSE,TRUE,FALSE,103173
627,15,30837,38314234,263,0.5,TRUE,FALSE,FALSE,FALSE,103210
431,24,43691,39059652,291,0.6,TRUE,TRUE,FALSE,TRUE,103254
522,9,32790,46678522,243,0.6,TRUE,FALSE,TRUE,TRUE,103280
727,22,51107,39078154,286,0.6,TRUE,FALSE,FALSE,FALSE,103307
263,20,42609,38091008,175,0.8,TRUE,TRUE,TRUE,TRUE,103365
452,17,55934,41180442,149,0.5,TRUE,FALSE,FALSE,TRUE,103602
543,16,32624,41209878,214,0.9,FALSE,TRUE,FALSE,FALSE,103612
332,14,55204,17671115,268,0.6,FALSE,TRUE,TRUE,TRUE,103782
362,12,29337,33026779,224,0.7,TRUE,TRUE,FALSE,FALSE,103807
395,12,40985,41246143,251,0.9,TRUE,FALSE,FALSE,TRUE,103883
686,18,26452,17679187,108,0.9,TRUE,TRUE,FALSE,TRUE,104141
765,22,33084,44332955,187,0.5,FALSE,TRUE,TRUE,TRUE,104237
268,9,45288,30405375,146,0.8,FALSE,FALSE,TRUE,TRUE,104269
509,8,60327,43810817,121,0.9,FALSE,TRUE,TRUE,TRUE,104334
490,21,26517,22706489,155,0.6,TRUE,TRUE,FALSE,FALSE,104350
441,13,59521,42356121,177,0.9,TRUE,TRUE,TRUE,FALSE,104368
263,12,27444,25393158,274,0.6,TRUE,FALSE,FALSE,FALSE,104387
587,14,43477,42193755,238,0.8,FALSE,FALSE,TRUE,FALSE,104401
436,9,26511,30146597,176,0.9,FALSE,TRUE,FALSE,TRUE,104736
429,13,44696,43678268,233,0.8,TRUE,FALSE,FALSE,TRUE,104758
586,18,60531,47497024,211,0.7,TRUE,TRUE,FALSE,TRUE,104760
661,20,56484,41340536,113,0.5,FALSE,FALSE,TRUE,FALSE,105256
544,8,61132,18276763,163,0.7,FALSE,TRUE,TRUE,TRUE,105467
433,21,67326,36523431,193,0.6,FALSE,FALSE,FALSE,TRUE,105532
450,16,41764,45431267,157,0.6,TRUE,FALSE,TRUE,TRUE,105544
331,20,27490,23843227,144,0.5,TRUE,FALSE,TRUE,TRUE,105555
389,23,72054,42712416,276,0.9,FALSE,TRUE,TRUE,TRUE,105684
499,17,65732,24690693,251,0.5,FALSE,TRUE,FALSE,TRUE,105839
532,19,71496,23335198,257,0.5,FALSE,TRUE,TRUE,TRUE,105853
402,24,28977,38600900,177,0.5,TRUE,FALSE,FALSE,TRUE,106065
317,19,31835,29748641,136,0.8,TRUE,TRUE,TRUE,FALSE,106158
270,20,70741,43101387,139,0.8,FALSE,FALSE,TRUE,TRUE,106179
368,17,52915,30439600,257,0.9,TRUE,FALSE,FALSE,TRUE,106191
443,20,64884,17222588,235,0.7,FALSE,FALSE,FALSE,FALSE,106450
695,14,55327,31407530,287,0.9,TRUE,FALSE,TRUE,FALSE,106911
439,24,25330,33242399,244,0.6,TRUE,FALSE,FALSE,FALSE,107257
692,10,38758,35658576,296,0.6,FALSE,FALSE,TRUE,FALSE,107443
571,22,43197,44515696,264,0.7,TRUE,FALSE,FALSE,FALSE,107539
520,21,74634,17939954,181,0.9,TRUE,TRUE,TRUE,FALSE,107610
