hive.exec.reducers.bytes.per.reducer,hive.exec.parallel.thread.number,hive.join.cache.size,hive.merge.smallfiles.avgsize,hive.mapjoin.bucket.cache.size,hive.map.aggr.hash.percentmemory,hive.stats.fetch.partition.stats,hive.optimize.index.autoupdate,hive.merge.mapfiles,hive.exec.parallel,time
287,8,70237,18665309,263,0.633823132,TRUE,FALSE,TRUE,TRUE,92375
724,13,75000,45446609,272,0.867589505,FALSE,TRUE,FALSE,TRUE,92382
480,17,75000,45026889,284,0.838168732,FALSE,FALSE,TRUE,FALSE,93096
307,21,38443,27458118,235,0.728995098,FALSE,TRUE,FALSE,TRUE,93197
629,19,64824,35738842,267,0.875777285,FALSE,TRUE,TRUE,TRUE,93198
762,8,73964,25026676,238,0.505422543,TRUE,TRUE,TRUE,FALSE,93245
276,12,70191,18899560,191,0.816946572,TRUE,TRUE,FALSE,FALSE,93359
495,12,51915,40252099,248,0.563005022,TRUE,FALSE,FALSE,FALSE,93495
286,14,72592,24409157,196,0.720921727,FALSE,TRUE,FALSE,TRUE,93579
575,22,74163,44643198,259,0.795468161,FALSE,TRUE,FALSE,TRUE,93795
705,13,74578,26627082,262,0.50683585,TRUE,FALSE,FALSE,FALSE,93954
762,13,74040,23518275,220,0.889730742,FALSE,TRUE,TRUE,TRUE,93965
624,13,34859,23594658,223,0.600093549,TRUE,TRUE,FALSE,TRUE,94290
625,15,73091,42713556,230,0.565128893,FALSE,TRUE,TRUE,TRUE,94373
575,17,74163,44643198,274,0.867589505,FALSE,TRUE,FALSE,TRUE,94441
575,17,75000,44643198,274,0.867589505,FALSE,TRUE,FALSE,TRUE,94463
583,16,29906,32606744,175,0.559220539,FALSE,TRUE,FALSE,FALSE,94481
462,19,37151,44039732,207,0.840745183,FALSE,FALSE,TRUE,FALSE,94508
517,20,49422,46945946,111,0.897735191,TRUE,FALSE,FALSE,TRUE,94526
422,8,70237,18665309,263,0.614345489,TRUE,FALSE,TRUE,FALSE,94564
277,18,63183,37727041,193,0.817378031,FALSE,FALSE,TRUE,FALSE,94579
545,17,32527,28049188,125,0.555144116,TRUE,TRUE,FALSE,TRUE,94682
699,17,75000,44643198,274,0.850163098,FALSE,TRUE,FALSE,FALSE,94742
480,17,75000,45026889,209,0.838168732,FALSE,FALSE,TRUE,TRUE,94750
586,18,51971,18334792,212,0.581599316,FALSE,FALSE,TRUE,FALSE,94770
502,15,55634,32712240,278,0.731321388,TRUE,TRUE,TRUE,TRUE,94866
422,11,70237,28160603,263,0.614345489,TRUE,FALSE,TRUE,FALSE,94913
404,19,58810,38301792,292,0.527654595,TRUE,FALSE,FALSE,TRUE,95007
422,8,70237,18665309,263,0.527153919,TRUE,FALSE,TRUE,FALSE,95007
287,8,70237,18665309,263,0.633823132,TRUE,FALSE,FALSE,TRUE,95042
286,15,72592,16914826,196,0.720921727,FALSE,TRUE,FALSE,TRUE,95118
286,10,72592,16914826,196,0.6219043,FALSE,TRUE,TRUE,TRUE,95178
398,20,74111,16460714,104,0.508923002,FALSE,FALSE,TRUE,FALSE,95204
557,23,66343,34376136,281,0.613635197,FALSE,FALSE,TRUE,FALSE,95268
729,21,35325,28951844,234,0.751712235,FALSE,TRUE,TRUE,FALSE,95337
549,22,60326,39644971,138,0.776303523,TRUE,FALSE,TRUE,FALSE,95353
574,12,51915,40252099,248,0.563769566,FALSE,FALSE,FALSE,FALSE,95401
677,20,34274,25601967,292,0.751561925,FALSE,FALSE,FALSE,FALSE,95419
432,8,49603,44393067,154,0.531473087,FALSE,FALSE,FALSE,TRUE,95461
342,11,57903,42766449,293,0.652448562,TRUE,FALSE,FALSE,FALSE,95511
696,15,74064,22222970,298,0.582921305,FALSE,TRUE,TRUE,TRUE,95512
473,17,71148,45387154,265,0.828848507,TRUE,FALSE,FALSE,FALSE,95529
276,16,71043,25754784,191,0.816946572,FALSE,FALSE,FALSE,FALSE,95540
369,8,54489,22924627,124,0.635266337,FALSE,TRUE,FALSE,FALSE,95573
286,10,72592,16914826,196,0.6219043,FALSE,FALSE,TRUE,TRUE,95611
487,19,36240,40156655,205,0.526976548,FALSE,FALSE,TRUE,FALSE,95640
657,16,52080,39508886,168,0.808843424,FALSE,FALSE,TRUE,FALSE,95654
287,8,70237,18665309,263,0.633823132,TRUE,TRUE,FALSE,TRUE,95686
705,13,74578,26627082,262,0.569313169,TRUE,FALSE,FALSE,FALSE,95753
286,14,70484,16000000,196,0.720921727,FALSE,TRUE,FALSE,TRUE,95794
