hive.exec.reducers.bytes.per.reducer,hive.exec.parallel.thread.number,hive.join.cache.size,hive.merge.smallfiles.avgsize,hive.mapjoin.bucket.cache.size,hive.map.aggr.hash.percentmemory,hive.stats.fetch.partition.stats,hive.optimize.index.autoupdate,hive.merge.mapfiles,hive.exec.parallel,time
459,17,54912,34571208,169,0.6,TRUE,FALSE,TRUE,TRUE,83649
379,17,49053,41057316,243,0.7,TRUE,TRUE,FALSE,FALSE,94799
442,17,49569,33763850,170,0.5,TRUE,FALSE,FALSE,TRUE,95564
689,19,52787,31398656,199,0.6,TRUE,FALSE,FALSE,TRUE,95610
397,15,55956,29500688,142,0.6,TRUE,FALSE,TRUE,FALSE,95964
480,18,44267,39519164,182,0.6,TRUE,FALSE,FALSE,FALSE,96419
557,21,57261,20228193,190,0.8,FALSE,TRUE,FALSE,FALSE,97047
584,20,51490,38039142,175,0.6,TRUE,FALSE,FALSE,TRUE,99417
414,18,19569,36477852,190,0.5,FALSE,TRUE,TRUE,TRUE,100347
454,17,54051,34279510,193,0.7,TRUE,TRUE,FALSE,FALSE,101202
809,17,48957,19045378,193,0.5,FALSE,FALSE,FALSE,TRUE,101884
492,17,53523,38253666,171,0.6,TRUE,FALSE,FALSE,TRUE,101890
358,19,46809,43326786,285,0.7,TRUE,TRUE,FALSE,FALSE,102961
508,20,44864,32650626,234,0.6,FALSE,TRUE,FALSE,FALSE,104340
681,19,48612,30935284,188,0.6,TRUE,FALSE,FALSE,TRUE,104748
360,17,47964,45004654,280,0.7,TRUE,TRUE,FALSE,FALSE,105861
