sort_buffer_size, join_buffer_size, innodb_autoextend_increment, innodb_buffer_pool_size, innodb_additional_mem_pool_size, innodb_log_buffer_size, table_open_cache, thread_cache_size, query_cache_limit, max_allowed_packet, max_connect_errors, tmp_table_size, max_heap_table_size,tpmc
1117KB, 1247KB, 39MB, 2221MB, 12MB, 31MB,770,101, 1MB, 12MB,1643, 126MB, 20MB,2635
2998KB, 197KB, 292MB, 2329MB, 18MB, 8MB,1298,85, 3MB, 11MB,1509, 86MB, 111MB,2694
831KB, 1208KB, 162MB, 6158MB, 19MB, 15MB,567,41, 3MB, 10MB,1264, 90MB, 30MB,2729.5
2295KB, 482KB, 289MB, 3708MB, 7MB, 25MB,1220,8, 1MB, 5MB,1613, 35MB, 105MB,2736.5
3335KB, 195KB, 497MB, 3462MB, 15MB, 16MB,1339,43, 1MB, 3MB,743, 26MB, 108MB,2741.5
1594KB, 1508KB, 250MB, 6596MB, 20MB, 6MB,225,41, 1MB, 8MB,500, 109MB, 124MB,2748.5
703KB, 1827KB, 88MB, 1752MB, 2MB, 16MB,948,45, 1MB, 12MB,230, 53MB, 66MB,2756
502KB, 533KB, 422MB, 3316MB, 9MB, 21MB,1075,57, 1MB, 9MB,1704, 56MB, 73MB,2759.5
545KB, 1423KB, 362MB, 8182MB, 6MB, 22MB,1625,8, 2MB, 11MB,1734, 88MB, 119MB,2762
2684KB, 973KB, 252MB, 3604MB, 3MB, 26MB,1895,85, 3MB, 5MB,1493, 24MB, 51MB,2765.5
2732KB, 1836KB, 146MB, 5606MB, 1MB, 18MB,891,67, 1MB, 2MB,627, 41MB, 127MB,2765.5
3508KB, 1537KB, 56MB, 6907MB, 11MB, 13MB,1896,111, 1MB, 9MB,928, 25MB, 69MB,2773
3355KB, 572KB, 134MB, 6100MB, 6MB, 11MB,1694,97, 2MB, 5MB,1733, 100MB, 20MB,2774
448KB, 1057KB, 343MB, 5924MB, 17MB, 8MB,1516,61, 3MB, 11MB,1230, 97MB, 70MB,2775
3111KB, 726KB, 53MB, 8189MB, 6MB, 6MB,259,42, 2MB, 10MB,950, 10MB, 65MB,2775.5
1815KB, 512KB, 48MB, 4121MB, 2MB, 29MB,1140,118, 3MB, 9MB,249, 109MB, 127MB,2777
2850KB, 202KB, 467MB, 4068MB, 5MB, 26MB,1142,119, 1MB, 11MB,1930, 17MB, 16MB,2778
3144KB, 1273KB, 208MB, 5414MB, 17MB, 24MB,324,55, 2MB, 11MB,1356, 111MB, 97MB,2780.5
3199KB, 412KB, 374MB, 6249MB, 10MB, 21MB,843,40, 3MB, 15MB,107, 55MB, 75MB,2781
487KB, 732KB, 150MB, 4473MB, 18MB, 14MB,1869,87, 3MB, 2MB,1041, 110MB, 67MB,2782
3296KB, 2010KB, 333MB, 4774MB, 12MB, 12MB,939,10, 2MB, 16MB,1320, 120MB, 84MB,2782.5
1268KB, 2025KB, 394MB, 6717MB, 19MB, 27MB,1362,117, 3MB, 16MB,620, 64MB, 20MB,2783.5
1159KB, 1211KB, 490MB, 3280MB, 11MB, 7MB,616,27, 3MB, 16MB,1032, 53MB, 8MB,2784.5
897KB, 1312KB, 129MB, 2690MB, 12MB, 11MB,1157,54, 3MB, 3MB,1984, 90MB, 4MB,2785
2103KB, 430KB, 123MB, 7481MB, 3MB, 29MB,485,127, 1MB, 15MB,1093, 124MB, 38MB,2786.5
1615KB, 745KB, 330MB, 2852MB, 8MB, 27MB,1905,33, 1MB, 13MB,720, 61MB, 111MB,2787.5
1640KB, 1232KB, 220MB, 7576MB, 16MB, 13MB,2003,30, 2MB, 5MB,571, 8MB, 126MB,2788
3390KB, 910KB, 330MB, 1629MB, 17MB, 18MB,1572,101, 2MB, 2MB,116, 42MB, 128MB,2788
230KB, 498KB, 201MB, 7728MB, 2MB, 4MB,2004,77, 2MB, 4MB,534, 16MB, 17MB,2789
544KB, 1911KB, 272MB, 2195MB, 1MB, 7MB,817,62, 2MB, 8MB,1894, 118MB, 105MB,2789
1313KB, 2027KB, 188MB, 2858MB, 19MB, 8MB,1583,65, 2MB, 7MB,874, 43MB, 63MB,2789
2927KB, 1485KB, 167MB, 3226MB, 6MB, 11MB,1858,28, 2MB, 14MB,1092, 23MB, 18MB,2789.5
1169KB, 893KB, 313MB, 2119MB, 4MB, 13MB,1712,115, 3MB, 3MB,1488, 103MB, 87MB,2790
2047KB, 1309KB, 355MB, 3739MB, 4MB, 24MB,1801,96, 2MB, 10MB,1475, 24MB, 36MB,2791.5
1060KB, 943KB, 248MB, 7317MB, 1MB, 31MB,1912,80, 2MB, 11MB,127, 8MB, 14MB,2791.5
2364KB, 553KB, 475MB, 91MB, 4MB, 22MB,1205,28, 3MB, 11MB,1487, 118MB, 59MB,2792
4048KB, 1596KB, 117MB, 1659MB, 19MB, 19MB,1274,43, 1MB, 4MB,1133, 48MB, 113MB,2793.5
3035KB, 1952KB, 429MB, 1028MB, 19MB, 23MB,552,52, 3MB, 13MB,1111, 93MB, 101MB,2794
3004KB, 1156KB, 404MB, 7355MB, 20MB, 14MB,194,79, 2MB, 15MB,1960, 88MB, 8MB,2795
2466KB, 499KB, 437MB, 1367MB, 5MB, 20MB,1764,122, 3MB, 9MB,368, 48MB, 23MB,2795.5
3738KB, 1449KB, 329MB, 2889MB, 6MB, 17MB,1360,74, 3MB, 10MB,637, 122MB, 96MB,2795.5
2629KB, 1760KB, 188MB, 4173MB, 4MB, 18MB,687,107, 2MB, 11MB,1504, 55MB, 63MB,2795.5
1826KB, 1525KB, 139MB, 4270MB, 8MB, 10MB,1682,55, 1MB, 9MB,130, 25MB, 21MB,2796
4069KB, 1781KB, 129MB, 6301MB, 19MB, 30MB,1902,54, 1MB, 11MB,1730, 93MB, 12MB,2796.5
1932KB, 992KB, 347MB, 6257MB, 14MB, 29MB,1535,82, 1MB, 5MB,1702, 69MB, 50MB,2797
2172KB, 2024KB, 220MB, 6118MB, 5MB, 24MB,1668,30, 3MB, 15MB,918, 89MB, 43MB,2797
