sort_buffer_size,join_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,max_connections,tmp_table_size,max_heap_table_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,TpmC
160,870,243,54,3,12,1601,42961,41,47,282,472,12,11,3518
1898,817,1902,60,1,3,885,8491,127,123,397,4171,12,13,2887.5
2326,440,527,95,2,7,473,38162,117,7,257,364,8,27,2885.5
232,264,1353,82,1,16,756,41787,77,99,100,276,11,28,2880.5
3781,336,412,38,3,3,588,32789,38,76,484,4156,14,16,2879.5
1057,532,963,38,3,8,289,42261,65,75,406,705,11,7,2879.5
3199,1154,343,128,3,3,1948,3743,118,123,510,2570,13,29,2879
894,1342,1677,48,2,5,826,10879,79,62,385,7265,7,27,2874
3378,1157,1187,117,2,16,1880,28957,30,34,57,4199,19,31,2869
2934,1471,652,84,3,7,1969,21213,76,68,506,4978,8,14,2866
1547,390,643,126,2,13,212,15605,68,9,151,3864,5,21,2864.5
3199,1154,343,128,2,3,1964,3743,118,123,510,2570,13,29,2863
642,1867,695,100,3,6,1069,3198,89,49,313,6598,14,31,2860.5
3053,1154,343,128,3,3,2000,3743,118,123,510,2570,13,29,2860
3199,1154,343,125,2,3,1964,3743,118,123,510,4028,13,29,2842
3199,1154,343,125,3,3,1964,3743,118,123,510,2570,5,29,2841.5
3199,1154,354,125,3,3,1964,3743,118,105,510,2570,13,29,2834.5
386,1518,529,47,3,9,919,25434,20,92,264,6818,11,19,2832
3199,1154,343,125,3,3,1928,3743,118,123,510,2570,13,29,2832
2350,285,864,51,1,12,1875,17137,90,26,137,6250,13,8,2829.5
2487,536,516,114,3,15,1855,9864,110,65,86,5342,19,22,2827.5
3199,1154,343,125,3,3,1964,4889,118,123,510,2570,13,29,2827
3199,1154,532,125,3,3,1964,3743,118,123,510,2570,13,29,2827
1328,1251,1226,123,3,10,1928,41244,96,38,456,5485,13,25,2826.5
627,1857,1875,21,3,2,964,39167,116,62,21,8140,10,17,2824.5
3199,1154,354,125,3,3,1964,3743,118,123,510,2570,13,29,2824.5
3199,1154,272,125,3,3,1964,3743,118,123,510,2570,13,29,2823.5
3148,1154,343,125,3,3,2000,3743,118,123,510,2570,13,29,2822.5
2860,1154,343,125,3,3,1964,3743,118,123,364,2570,13,29,2820.5
2277,930,156,39,1,12,1105,23520,62,98,296,12,20,27,2820
583,1015,845,128,1,7,1198,17023,39,48,302,7357,14,20,2820
3109,807,1329,75,3,10,188,23350,103,75,473,4824,15,5,2819
3304,1154,128,125,3,3,1802,4520,118,123,510,2570,13,29,2818
3199,1154,343,125,3,3,1964,3743,118,123,510,2570,13,25,2817.5
3878,382,396,31,3,14,786,25205,98,33,169,2207,1,16,2817
1701,789,1755,105,2,7,978,47610,90,109,44,3910,6,15,2816.5
2859,184,1353,48,1,3,1347,46159,25,82,180,7695,9,4,2816
1656,1206,920,54,2,16,864,28860,64,36,438,6381,10,28,2816
3004,1154,343,125,3,3,1875,3743,118,123,510,2570,13,29,2816
128,870,243,67,3,16,1601,42961,8,47,282,0,14,10,2816
1587,1090,1076,119,2,16,1573,26737,37,124,245,110,2,30,2815.5
160,870,222,54,3,12,1601,42961,41,47,282,472,12,11,2815.5
2103,759,655,55,2,12,293,13853,118,21,236,7388,1,26,2814.5
3554,851,1179,60,3,2,187,15200,128,89,370,2216,3,13,2813
1353,785,1503,31,3,15,480,9039,125,60,466,2486,11,4,2813
2860,1154,343,125,3,3,1964,3743,118,123,510,2570,13,30,2812
3199,1154,343,125,3,4,1964,3743,118,123,510,2570,13,29,2811.5
2499,1320,1933,94,3,10,1266,47922,30,29,121,7053,15,29,2810.5
3199,1154,343,125,3,6,1964,3743,118,123,510,2570,13,29,2810
2331,1293,1289,22,3,13,1924,9909,94,77,437,3358,6,14,2809
