sort_buffer_size, join_buffer_size, innodb_autoextend_increment, innodb_buffer_pool_size, innodb_additional_mem_pool_size, innodb_log_buffer_size, table_open_cache, thread_cache_size, query_cache_limit, max_allowed_packet, max_connect_errors, tmp_table_size, max_heap_table_size,tpmc
2278KB, 1405KB, 161MB, 3631MB, 14MB, 27MB,2193,114, 3MB, 3MB,1001, 86MB, 17MB,4181.000 TpmC
1914KB, 648KB, 208MB, 4095MB, 16MB, 8MB,1601,82, 2MB, 11MB,1433, 43MB, 30MB,3791.000 TpmC
1775KB, 900KB, 464MB, 4086MB, 16MB, 13MB,1251,55, 3MB, 11MB,969, 55MB, 95MB,3689.500 TpmC
2008KB, 1381KB, 233MB, 1886MB, 10MB, 27MB,864,85, 1MB, 11MB,88, 69MB, 51MB,3488.000 TpmC
2788KB, 1240KB, 353MB, 5484MB, 5MB, 15MB,1048,42, 3MB, 7MB,937, 70MB, 40MB,3183.000 TpmC
1511KB, 1222KB, 158MB, 4353MB, 7MB, 29MB,1515,59, 2MB, 7MB,721, 71MB, 74MB,3082.500 TpmC
2453KB, 1046KB, 268MB, 5424MB, 9MB, 16MB,1708,30, 2MB, 6MB,1581, 50MB, 54MB,2780.500 TpmC
2516KB, 1712KB, 348MB, 5829MB, 14MB, 20MB,1255,78, 3MB, 4MB,570, 43MB, 47MB,2778.500 TpmC
1526KB, 561KB, 257MB, 3029MB, 21MB, 5MB,1918,65, 2MB, 12MB,1120, 42MB, 30MB,2770.000 TpmC
1833KB, 775KB, 330MB, 3220MB, 16MB, 13MB,1405,55, 1MB, 10MB,611, 95MB, 53MB,2767.000 TpmC
1350KB, 715KB, 417MB, 2982MB, 15MB, 3MB,1178,59, 2MB, 9MB,819, 91MB, 60MB,2763.000 TpmC
2182KB, 1483KB, 126MB, 3779MB, 8MB, 32MB,1494,66, 1MB, 10MB,146, 89MB, 25MB,2760.500 TpmC
1701KB, 302KB, 249MB, 2800MB, 18MB, 5MB,1837,81, 2MB, 13MB,1370, 62MB, 19MB,2758.000 TpmC
1978KB, 1412KB, 285MB, 6914MB, 13MB, 18MB,1395,85, 3MB, 7MB,1139, 73MB, 43MB,2756.000 TpmC
1024KB, 881KB, 285MB, 5484MB, 12MB, 24MB,1577,25, 3MB, 4MB,1243, 80MB, 123MB,2753.000 TpmC
2123KB, 1124KB, 152MB, 3703MB, 10MB, 29MB,1626,63, 1MB, 14MB,342, 84MB, 55MB,2751.000 TpmC
