column_index_size_in_kb,commitlog_sync_period_in_ms,compaction_throughput_mb_per_sec,in_memory_compaction_limit_in_mb,memtable_flush_queue_size,reduce_cache_capacity_to,reduce_cache_sizes_at,commitlog_segment_size_in_mb,compaction_preheat_key_cache,multithreaded_compaction,commitlog_sync,Throughput
120,15596,31,87,4,0.6,0.94,8,TRUE,FALSE,periodic,12562.81407
37,10963,23,49,5,0.6,0.27,16,FALSE,TRUE,periodic,11074.19712
85,15316,19,56,5,0,0.4,16,TRUE,TRUE,periodic,11061.9469
56,10459,21,89,5,0.5,0.64,16,FALSE,FALSE,periodic,10952.90252
34,15945,17,92,4,0.1,0.76,8,FALSE,FALSE,periodic,10706.63812
43,16737,26,99,5,0.3,0.1,32,TRUE,TRUE,periodic,10604.45387
63,11898,25,32,5,0.6,0.43,16,FALSE,FALSE,periodic,10493.17943
120,19591,32,110,6,0.7,0.38,8,FALSE,FALSE,periodic,10482.18029
112,11933,26,47,6,0,0.22,32,TRUE,FALSE,periodic,10471.20419
47,16159,20,89,5,0.2,0.73,32,TRUE,TRUE,periodic,10193.67992
35,17573,30,91,6,0.3,0.3,8,FALSE,FALSE,periodic,10152.28426
59,14185,18,48,6,0.3,0.05,8,FALSE,TRUE,periodic,10152.28426
35,18145,28,118,7,0.5,0.86,16,TRUE,TRUE,periodic,10060.36217
108,13701,32,48,6,0.5,0.42,32,TRUE,FALSE,periodic,10020.04008
64,19963,31,53,4,0.2,0.79,32,FALSE,TRUE,periodic,9900.990099
84,14911,17,70,5,0.7,0.46,16,FALSE,TRUE,periodic,9832.841691
67,19851,22,51,7,1,0.91,16,FALSE,FALSE,periodic,9803.921569
95,17668,32,121,5,0.4,0.82,16,TRUE,FALSE,periodic,9727.626459
77,11406,27,93,8,0.5,0.82,32,TRUE,TRUE,periodic,9708.737864
113,12212,21,126,5,0.3,0.02,32,TRUE,TRUE,periodic,9689.922481
94,16341,26,114,4,0.4,0.76,32,TRUE,TRUE,periodic,9680.54211
94,15544,30,65,7,0.5,0.91,32,FALSE,TRUE,periodic,9671.179884
117,11688,22,128,8,0.8,0.98,8,FALSE,FALSE,periodic,9633.911368
54,18660,18,44,4,0.2,0.68,32,TRUE,FALSE,periodic,9633.911368
110,14065,25,90,6,0.3,0.7,16,FALSE,FALSE,periodic,9606.147935
47,13914,30,57,7,0.9,0.39,32,FALSE,TRUE,periodic,9578.544061
54,15659,27,50,6,0.7,0.63,32,FALSE,FALSE,periodic,9569.37799
110,16831,17,66,7,0.5,0.11,32,FALSE,FALSE,periodic,9560.229446
65,14688,16,54,4,0.1,0.25,16,FALSE,FALSE,periodic,9551.098376
120,17980,21,52,7,0.8,0.46,8,TRUE,FALSE,periodic,9478.672986
69,11385,25,110,6,0.4,0.02,32,FALSE,FALSE,periodic,9442.870633
120,18689,32,92,7,0.4,0.74,8,TRUE,FALSE,periodic,9433.962264
81,16455,30,55,7,0.4,0.93,32,FALSE,TRUE,periodic,9425.070688
36,11254,22,44,4,0.5,0.72,16,FALSE,TRUE,periodic,9416.195857
57,12657,28,63,5,0.3,0.64,16,FALSE,TRUE,periodic,9416.195857
104,16779,17,61,6,0.4,0.62,16,TRUE,TRUE,periodic,9407.337723
117,17022,25,126,7,0.3,0.74,16,TRUE,TRUE,periodic,9380.863039
82,10136,16,62,6,0.2,0.98,8,TRUE,FALSE,periodic,9372.071228
79,16051,31,44,5,0,0.16,16,FALSE,FALSE,periodic,9328.358209
111,13859,29,53,6,0.4,0.65,8,FALSE,TRUE,periodic,9310.986965
108,19562,18,107,8,0.7,0.53,8,FALSE,FALSE,periodic,9302.325581
119,15658,21,39,6,0.5,0.04,32,FALSE,TRUE,periodic,9276.437848
85,11454,21,62,6,0.4,0.86,16,FALSE,TRUE,periodic,9250.693802
72,12878,30,90,7,1,0.07,16,TRUE,TRUE,periodic,9216.589862
110,16013,28,68,5,0.9,0.38,32,TRUE,TRUE,periodic,9208.103131
115,16519,27,104,6,0.6,0.38,8,TRUE,FALSE,periodic,9191.176471
128,15048,29,84,7,0.8,0.96,16,FALSE,TRUE,periodic,9174.311927
99,11364,32,32,7,0.7,0.49,8,FALSE,TRUE,periodic,9124.087591
110,11308,20,64,6,0.6,0.99,8,TRUE,FALSE,periodic,9107.468124
97,18608,30,55,6,0.4,0.62,16,TRUE,FALSE,periodic,9090.909091
57,19311,27,74,6,0.7,0.84,16,FALSE,FALSE,periodic,9057.971014
126,17837,23,48,5,0.7,0.8,8,FALSE,TRUE,periodic,9009.009009
71,16846,18,102,7,0.4,0.29,8,FALSE,FALSE,periodic,9009.009009
69,19064,29,53,7,0.4,0,32,FALSE,TRUE,periodic,9000.90009
125,13397,26,70,8,0.4,0.22,16,FALSE,TRUE,periodic,8992.805755
82,15793,17,61,4,0.6,0.4,8,FALSE,TRUE,periodic,8960.573477
84,10563,28,66,5,0.2,0.95,32,FALSE,TRUE,periodic,8952.551477
111,19243,30,69,7,0.7,0.12,16,FALSE,FALSE,periodic,8944.543828
110,10920,21,115,4,0.8,0.98,32,TRUE,FALSE,periodic,8912.655971
97,19342,25,49,4,0.4,0.63,16,FALSE,TRUE,periodic,8896.797153
76,19487,20,66,6,0.7,0.62,32,TRUE,FALSE,periodic,8888.888889
56,17650,21,49,7,0.9,0.27,32,TRUE,TRUE,periodic,8880.994671
85,19428,30,35,6,0.2,0.47,32,FALSE,TRUE,periodic,8873.114463
60,19834,19,97,7,0.4,0.66,16,TRUE,FALSE,periodic,8849.557522
61,16480,18,67,4,0.8,0.79,16,TRUE,TRUE,periodic,8826.125331
37,15414,17,82,5,1,0.66,16,FALSE,TRUE,periodic,8826.125331
67,15903,17,32,5,1,0.32,16,FALSE,FALSE,periodic,8810.572687
114,12241,32,56,7,0.2,0.55,16,TRUE,TRUE,periodic,8810.572687
62,12463,30,77,5,0,0.2,8,FALSE,FALSE,periodic,8748.906387
61,16477,23,85,7,0.5,0.55,32,TRUE,FALSE,periodic,8748.906387
