column_index_size_in_kb,commitlog_segment_size_in_mb,commitlog_sync,commitlog_sync_period_in_ms,compaction_preheat_key_cache,compaction_throughput_mb_per_sec,in_memory_compaction_limit_in_mb,memtable_flush_queue_size,multithreaded_compaction,reduce_cache_capacity_to,reduce_cache_sizes_at,Throughput
91,32,periodic,12334,FALSE,27,87,4,FALSE,0.76,0.14,11560.69364
60,8,periodic,18984,TRUE,19,103,9,TRUE,0.96,0.6,10570.82452
42,32,periodic,13441,TRUE,31,87,8,TRUE,0.6,0.5,10416.66667
46,32,periodic,16391,FALSE,27,100,8,TRUE,0.42,0.2,10288.06584
94,8,periodic,11335,FALSE,23,60,6,FALSE,0,0.55,10266.94045
122,8,periodic,13965,TRUE,20,120,6,TRUE,0.32,0.61,10245.90164
94,32,periodic,16321,FALSE,29,106,8,TRUE,1,0.96,10080.64516
126,16,periodic,14050,TRUE,30,42,8,TRUE,1,0.4,10020.04008
49,16,periodic,14566,TRUE,30,54,8,TRUE,0.23,0.89,10010.01001
106,16,periodic,16588,FALSE,19,115,7,TRUE,0,0.91,9970.089731
64,16,periodic,15065,TRUE,23,105,8,TRUE,0.91,0.31,9891.196835
72,8,periodic,12240,TRUE,31,42,5,FALSE,0.23,1,9881.422925
33,32,periodic,19582,FALSE,23,124,7,TRUE,0.59,0.65,9652.509653
107,16,periodic,12186,TRUE,19,107,6,FALSE,0,0.32,9532.888465
93,32,periodic,15927,FALSE,29,112,8,TRUE,0.22,0.76,9487.666034
44,32,periodic,14194,TRUE,26,127,9,TRUE,0.4,0.33,9469.69697
46,16,periodic,18637,TRUE,26,109,7,TRUE,0.45,0.41,9380.863039
99,32,periodic,18391,TRUE,24,92,7,FALSE,0.34,0.29,9372.071228
82,32,periodic,12866,TRUE,19,35,8,TRUE,0.4,0.67,9302.325581
128,32,periodic,16649,TRUE,21,82,6,TRUE,0.83,0.8,9107.468124
66,16,periodic,11789,TRUE,30,80,7,FALSE,0.5,1,9107.468124
112,16,periodic,11489,TRUE,18,88,6,FALSE,0.56,0.2,9082.652134
83,16,periodic,15794,TRUE,32,110,5,TRUE,0.56,0.72,9041.59132
97,32,periodic,16967,FALSE,31,35,7,TRUE,1,0.49,9009.009009
71,32,periodic,13137,FALSE,27,115,9,TRUE,0.53,0.73,8936.550492
85,16,periodic,17766,TRUE,25,107,4,FALSE,0.25,0.6,8888.888889
57,32,periodic,14825,FALSE,24,111,8,FALSE,0.5,0.83,8880.994671
74,16,periodic,12716,FALSE,25,59,5,TRUE,0.38,0.53,8865.248227
37,8,periodic,14024,TRUE,22,96,8,TRUE,0.67,0,8795.074758
113,8,periodic,13409,TRUE,28,56,7,TRUE,0.64,0.6,8756.567426
50,16,periodic,17594,FALSE,33,68,8,FALSE,0.91,0.14,8591.065292
67,16,batch,17808,TRUE,27,34,4,FALSE,0.51,0.91,8532.423208
43,32,batch,18013,FALSE,26,41,6,TRUE,1,0.72,8474.576271
53,16,periodic,11040,FALSE,18,115,9,FALSE,0.63,0.81,8474.576271
51,32,periodic,12141,TRUE,29,49,7,TRUE,0.71,0.24,8453.085376
70,16,periodic,14700,FALSE,25,115,5,FALSE,0.97,0.5,8438.818565
85,32,periodic,11898,TRUE,26,67,8,FALSE,0.89,0.71,8375.20938
60,8,periodic,13156,TRUE,17,113,8,FALSE,0.64,0.12,8340.28357
105,16,periodic,12567,FALSE,33,42,4,TRUE,0.83,0.56,8298.755187
91,16,batch,13320,FALSE,21,36,4,TRUE,0,0.3,8237.23229
67,8,periodic,12467,TRUE,25,82,4,FALSE,0.8,0.69,8196.721311
86,32,periodic,19605,FALSE,24,86,6,FALSE,0.78,0.61,8176.614881
33,8,periodic,13274,FALSE,28,101,8,FALSE,0.51,0.25,8097.165992
107,8,periodic,12304,FALSE,18,87,7,FALSE,0.72,0.21,7961.783439
52,16,batch,12708,FALSE,19,50,4,FALSE,0.62,0.69,7892.659826
65,8,batch,18466,FALSE,27,77,4,TRUE,0.85,1,7757.951901
42,16,batch,14183,FALSE,22,79,9,TRUE,0.12,0.36,7739.93808
79,32,batch,13726,TRUE,24,38,4,TRUE,0,0.28,7627.765065
64,8,batch,10748,TRUE,30,127,8,FALSE,0.79,0.52,7496.251874
