hfile.block.cache.size,hbase.regionserver.global.memstore.upperLimit,hbase.regionserver.global.memstore.lowerLimit,hbase.regionserver.handler.count,hbase.hregion.memstore.block.multiplie,hbase.hstore.compactionThreshold,hbase.hstore.blockingStoreFiles,hbase.hregion.memstore.flush.size,hfile.block.index.cacheonwrite,hbase.hregion.memstore.mslab.enabled,Runtime
0.285977908,0.284119616,0.147283974,13,4,10,85,1342177280,TRUE,TRUE,12138
0.168698567,0.376200476,0.200882159,40,4,7,43,1342177280,TRUE,TRUE,12186
0.354443543,0.386332845,0.242484189,43,6,3,66,134217728,TRUE,FALSE,12313
0.354443543,0.386332845,0.230263961,43,6,6,82,134217728,TRUE,FALSE,12335
0.33603812,0.357831487,0.192624588,86,5,8,96,134217728,FALSE,TRUE,12372
0.208206745,0.193036458,0.1785073,41,2,9,65,67108864,TRUE,FALSE,12393
0.155094917,0.438210128,0.31731571,135,10,10,56,1342177280,FALSE,FALSE,12403
0.170689916,0.473414153,0.433577604,174,2,8,77,134217728,TRUE,TRUE,12417
0.20307876,0.407667378,0.132219846,60,4,5,31,1342177280,FALSE,FALSE,12440
0.18739322,0.416211166,0.327042303,111,6,10,14,67108864,FALSE,FALSE,12446
0.170689916,0.473414153,0.433577604,174,2,8,70,134217728,TRUE,TRUE,12484
0.247572016,0.217851177,0.164555997,66,10,6,3,1342177280,FALSE,FALSE,12515
0.256648578,0.330060144,0.115157655,144,9,3,1,1342177280,TRUE,FALSE,12531
0.33,0.453733807,0.209381227,10,9,10,83,134217728,TRUE,TRUE,12538
0.3,0.485741524,0.273914696,109,6,9,73,67108864,FALSE,FALSE,12546
0.32065823,0.290373577,0.211241681,98,3,6,58,134217728,TRUE,TRUE,12551
0.462824549,0.230323045,0.171903195,130,8,5,45,67108864,FALSE,TRUE,12559
0.33603812,0.357831487,0.199676434,86,5,8,96,134217728,FALSE,TRUE,12600
0.130074652,0.499458254,0.433577604,78,2,3,79,134217728,FALSE,TRUE,12618
0.467548713,0.155467208,0.127381281,29,3,3,17,134217728,FALSE,TRUE,12622
0.209505576,0.438959922,0.231043618,107,10,3,62,67108864,FALSE,TRUE,12637
0.354443543,0.293229666,0.230263961,43,6,6,21,134217728,FALSE,FALSE,12659
0.32,0.469752843,0.209381227,10,10,10,83,134217728,TRUE,TRUE,12668
0.170689916,0.499458254,0.433577604,94,2,3,64,134217728,TRUE,TRUE,12668
0.384368962,0.187642071,0.137662028,47,5,7,65,134217728,TRUE,FALSE,12669
0.155094917,0.438210128,0.31731571,135,9,10,56,1342177280,FALSE,FALSE,12675
0.168698567,0.447667385,0.200882159,40,5,7,37,1342177280,FALSE,TRUE,12688
0.354443543,0.386332845,0.230263961,43,6,6,90,1342177280,TRUE,FALSE,12712
0.384368962,0.187642071,0.137662028,47,9,7,65,134217728,TRUE,FALSE,12725
0.16671992,0.435096481,0.197842428,65,3,9,50,134217728,TRUE,FALSE,12731
0.300782378,0.290373577,0.211241681,98,1,6,58,134217728,TRUE,TRUE,12742
0.101919931,0.407165362,0.277891693,103,10,8,35,134217728,FALSE,FALSE,12764
0.237489326,0.345145047,0.229176501,127,9,6,94,134217728,TRUE,FALSE,12769
0.3,0.484779152,0.209381227,10,9,10,100,1342177280,TRUE,TRUE,12772
0.3,0.48395202,0.132609046,187,9,9,84,1342177280,FALSE,TRUE,12773
0.4,0.384903955,0.348115674,122,9,4,33,1342177280,FALSE,FALSE,12791
0.3,0.486117536,0.452654187,68,7,4,61,134217728,FALSE,FALSE,12796
0.32065823,0.275479761,0.211241681,98,3,6,58,134217728,FALSE,TRUE,12797
0.266785228,0.383558125,0.210311866,141,10,9,31,67108864,FALSE,FALSE,12808
0.354443543,0.230263961,0.220528239,44,6,6,21,134217728,FALSE,FALSE,12818
0.29,0.497963914,0.194139016,159,6,4,52,1342177280,FALSE,FALSE,12827
0.152861072,0.384832984,0.137057731,39,4,7,64,67108864,FALSE,TRUE,12858
0.170689916,0.473414153,0.433577604,174,1,8,70,134217728,TRUE,TRUE,12860
0.346616732,0.351236191,0.252241796,107,5,7,28,67108864,TRUE,TRUE,12862
0.3,0.480130762,0.216941373,181,7,7,83,67108864,FALSE,TRUE,12863
0.3,0.480130762,0.216941373,181,7,8,83,134217728,FALSE,TRUE,12904
0.32,0.469752843,0.209381227,10,10,10,83,134217728,FALSE,TRUE,12905
0.130074652,0.499458254,0.433577604,94,2,3,64,134217728,TRUE,TRUE,12917
0.175415064,0.48153156,0.277097584,48,2,5,65,134217728,FALSE,FALSE,12930
0.47673,0.264167724,0.202416841,108,6,10,42,1342177280,TRUE,TRUE,12932
