hfile.block.cache.size,hbase.regionserver.global.memstore.upperLimit,hbase.regionserver.global.memstore.lowerLimit,hbase.regionserver.handler.count,hbase.hregion.memstore.block.multiplier,hbase.hstore.compactionThreshold,hbase.hstore.blockingStoreFiles,hbase.hregion.memstore.flush.size,hfile.block.index.cacheonwrite,hbase.hregion.memstore.mslab.enabled,Runtime
0.25,0.2,0.15,200,10,3,52,67108864,FALSE,TRUE,13508
0.25,0.3,0.15,10,10,6,66,1342177280,FALSE,FALSE,13865
0.35,0.3,0.25,130,2,3,19,67108864,FALSE,TRUE,14102
0.45,0.2,0.15,200,2,5,19,1342177280,TRUE,TRUE,14196
0.45,0.2,0.15,160,8,3,85,1342177280,TRUE,FALSE,14285
0.25,0.4,0.25,100,8,4,73,1342177280,TRUE,FALSE,14295
0.25,0.5,0.25,10,8,3,77,134217728,FALSE,TRUE,14310
0.25,0.5,0.45,60,6,5,62,1342177280,FALSE,FALSE,14364
0.45,0.2,0.15,10,2,3,69,134217728,FALSE,TRUE,14410
0.25,0.5,0.45,10,10,5,39,1342177280,TRUE,TRUE,14470
0.35,0.3,0.25,200,10,6,3,67108864,FALSE,TRUE,14481
0.35,0.2,0.15,60,4,3,47,1342177280,TRUE,TRUE,14516
0.25,0.5,0.15,10,6,3,6,67108864,TRUE,FALSE,14650
0.5,0.3,0.15,180,4,3,30,134217728,TRUE,TRUE,14660
0.25,0.5,0.45,10,8,3,92,134217728,TRUE,TRUE,14678
0.35,0.3,0.25,180,4,3,86,1342177280,TRUE,TRUE,14723
0.25,0.5,0.35,10,10,5,25,1342177280,TRUE,TRUE,14751
0.25,0.5,0.45,130,10,6,74,1342177280,FALSE,TRUE,14760
0.25,0.5,0.45,10,10,4,56,1342177280,TRUE,TRUE,14782
0.35,0.2,0.15,160,6,3,68,134217728,FALSE,FALSE,14785
0.25,0.5,0.35,130,4,5,97,1342177280,FALSE,FALSE,14792
0.25,0.5,0.15,60,10,5,71,1342177280,FALSE,FALSE,14849
0.25,0.5,0.15,180,6,4,9,1342177280,FALSE,TRUE,14853
0.25,0.5,0.35,180,2,6,46,1342177280,FALSE,FALSE,14890
0.25,0.5,0.45,180,8,4,49,134217728,FALSE,FALSE,14913
0.25,0.5,0.35,160,6,4,67,134217728,FALSE,FALSE,14934
0.35,0.4,0.15,10,4,7,58,134217728,FALSE,TRUE,14934
0.45,0.3,0.25,100,10,5,41,67108864,FALSE,FALSE,14939
0.25,0.5,0.35,60,8,6,51,1342177280,TRUE,TRUE,14968
0.25,0.5,0.45,100,4,6,40,134217728,FALSE,FALSE,14985
0.25,0.4,0.25,60,2,3,44,1342177280,FALSE,TRUE,15023
0.35,0.2,0.15,130,4,4,60,67108864,FALSE,FALSE,15054
0.45,0.2,0.15,10,10,5,72,67108864,FALSE,TRUE,15060
0.25,0.4,0.35,60,4,4,85,67108864,TRUE,FALSE,15065
0.5,0.2,0.15,180,2,5,23,1342177280,TRUE,TRUE,15076
0.5,0.2,0.15,10,10,6,73,1342177280,TRUE,FALSE,15104
0.5,0.2,0.15,10,6,4,67,1342177280,FALSE,FALSE,15174
0.45,0.2,0.15,160,10,3,88,67108864,FALSE,FALSE,15180
0.25,0.5,0.45,160,6,4,49,1342177280,FALSE,FALSE,15215
0.5,0.2,0.15,10,2,4,48,1342177280,FALSE,TRUE,15246
0.25,0.5,0.25,100,2,6,58,1342177280,TRUE,FALSE,15299
0.35,0.2,0.15,100,2,4,80,1342177280,TRUE,TRUE,15353
0.5,0.2,0.15,60,2,5,64,1342177280,TRUE,FALSE,15368
0.25,0.2,0.15,200,6,4,11,134217728,FALSE,FALSE,15404
0.25,0.5,0.35,100,10,4,67,67108864,FALSE,FALSE,15417
0.45,0.3,0.15,180,10,5,59,67108864,TRUE,FALSE,15433
0.25,0.2,0.15,180,2,5,22,134217728,TRUE,TRUE,15469
0.5,0.2,0.15,10,4,4,33,1342177280,FALSE,TRUE,15479
0.45,0.2,0.15,130,10,4,38,134217728,FALSE,FALSE,15512
