XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,200,100,500,10,50,FALSE,20000,TRUE,1024,2601.344028
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,200,25,500,10,200,TRUE,30000,FALSE,1024,2958.959235
256,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,250,100,100,FALSE,10000,TRUE,1024,2982.225933
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,250,100,200,FALSE,10000,FALSE,2048,3209.517289
64,128,256,org.apache.coyote.http11.Http11Protocol,4096,200,25,250,50,50,TRUE,30000,TRUE,1024,3264.844158
128,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,200,100,250,10,100,FALSE,20000,TRUE,1024,3309.468389
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,250,10,200,FALSE,10000,TRUE,1024,3381.31037
256,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,200,50,75,100,100,TRUE,10000,FALSE,1024,3391.363328
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,250,10,200,FALSE,10000,TRUE,2048,3441.393076
256,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,75,50,100,FALSE,30000,TRUE,2048,3472.58395
64,128,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,500,50,100,TRUE,10000,TRUE,1024,3475.118154
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,200,50,75,10,200,TRUE,30000,TRUE,1024,3508.361595
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,75,10,200,TRUE,10000,FALSE,2048,3518.071159
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,200,50,75,50,200,TRUE,30000,FALSE,1024,3521.374745
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,250,100,200,FALSE,10000,TRUE,1024,3550.001775
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,200,25,250,100,200,TRUE,20000,TRUE,2048,3552.355804
256,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,75,50,200,TRUE,30000,TRUE,2048,3556.946717
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,1000,50,75,50,200,TRUE,10000,TRUE,1024,3611.499013
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,10,200,FALSE,30000,FALSE,2048,3764.398826
256,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,25,500,50,200,FALSE,30000,TRUE,2048,3811.798788
128,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,50,75,50,100,TRUE,10000,TRUE,2048,3831.319762
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,1000,100,250,50,50,TRUE,20000,TRUE,2048,3831.466558
128,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,200,100,500,10,50,FALSE,30000,TRUE,1024,3881.485315
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,75,100,200,FALSE,20000,TRUE,1024,3911.138924
128,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,500,50,200,FALSE,30000,TRUE,2048,3914.660403
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,1000,25,500,50,200,TRUE,20000,TRUE,1024,3926.59878
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,500,50,50,TRUE,30000,FALSE,1024,3958.932672
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,1000,25,500,50,100,FALSE,30000,FALSE,1024,4091.764642
64,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,100,500,10,50,TRUE,20000,TRUE,1024,4151.272365
64,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,500,100,100,TRUE,10000,FALSE,1024,4157.946529
128,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,250,50,100,FALSE,30000,FALSE,2048,4176.004677
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,100,500,10,50,TRUE,30000,FALSE,1024,4195.393458
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,10,200,TRUE,30000,TRUE,1024,4197.271773
256,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,1000,100,500,50,50,FALSE,30000,TRUE,1024,4270.037149
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,1000,50,75,100,100,FALSE,10000,TRUE,2048,4299.534217
256,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,500,100,100,TRUE,10000,FALSE,1024,4315.553254
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,500,25,500,10,200,TRUE,10000,TRUE,1024,4344.86654
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,200,50,75,10,50,TRUE,10000,TRUE,1024,4385.003289
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,200,25,250,50,50,FALSE,30000,TRUE,2048,4422.495762
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,100,500,100,50,TRUE,10000,TRUE,2048,4441.023212
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,50,75,100,50,TRUE,10000,TRUE,2048,4446.750167
64,64,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,250,10,200,TRUE,20000,FALSE,2048,4457.652303
64,64,128,org.apache.coyote.http11.Http11Protocol,4096,1000,50,75,50,50,TRUE,10000,TRUE,2048,4473.939304
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,200,50,75,50,50,FALSE,30000,TRUE,2048,4485.914229
64,128,512,org.apache.coyote.http11.Http11Protocol,16384,200,50,75,50,50,FALSE,30000,TRUE,1024,4486.786414
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,200,50,75,100,100,TRUE,20000,FALSE,2048,4503.76064
128,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,10,50,TRUE,10000,FALSE,2048,4508.769557
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,200,50,75,50,50,FALSE,30000,FALSE,1024,4511.413877
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,1000,25,500,100,50,TRUE,20000,FALSE,1024,4520.931915
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,10,50,TRUE,10000,FALSE,1024,4526.798648
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,500,100,500,100,100,TRUE,30000,FALSE,1024,4528.37024
