#NAME?,#NAME?,#NAME?,protocol,maxHttpHeaderSize,maxThreads,minSpareSize,MaxSpareSize,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,throughput
64m,128m,512m,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,500,10,100,FALSE,20000,FALSE,2048,8111.177202
128m,256m,512m,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,100,100,FALSE,30000,TRUE,1024,8062.132165
128m,128m,512m,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,250,10,100,FALSE,10000,TRUE,2048,7941.339969
64m,64m,512m,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,500,10,200,FALSE,20000,FALSE,1024,7887.264697
64m,256m,512m,org.apache.coyote.http11.Http11Protocol,4096,500,50,75,50,100,FALSE,20000,TRUE,1024,7842.317143
128m,128m,512m,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,75,50,50,TRUE,30000,TRUE,2048,7727.97527
64m,128m,256m,org.apache.coyote.http11.Http11AprProtocol,8192,1000,100,250,10,50,FALSE,30000,TRUE,1024,7719.821929
64m,64m,256m,org.apache.coyote.http11.Http11AprProtocol,4096,500,100,250,10,50,FALSE,20000,FALSE,1024,7666.164107
128m,64m,256m,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,250,10,200,FALSE,20000,FALSE,2048,7665.968212
64m,64m,256m,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,250,100,100,FALSE,20000,TRUE,2048,7608.998909
128m,64m,256m,org.apache.coyote.http11.Http11Protocol,16384,1000,100,75,100,100,FALSE,10000,TRUE,2048,7597.437131
128m,64m,256m,org.apache.coyote.http11.Http11Protocol,16384,500,25,250,100,50,FALSE,10000,TRUE,2048,7587.253414
245m,64m,512m,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,75,50,50,FALSE,30000,TRUE,1024,7579.202668
128m,128m,256m,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,500,50,100,FALSE,20000,FALSE,1024,7543.943471
64m,128m,512m,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,250,100,200,FALSE,30000,TRUE,1024,7531.821948
64m,64m,256m,org.apache.coyote.http11.Http11AprProtocol,16384,500,25,75,100,100,FALSE,30000,FALSE,1024,7465.286418
64m,64m,256m,org.apache.coyote.http11.Http11AprProtocol,8192,1000,100,500,100,100,FALSE,10000,TRUE,2048,7456.936193
64m,128m,256m,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,75,10,200,TRUE,20000,FALSE,2048,7448.974525
